names,logfoldchanges,pvals_adj
IGFBP3,6.1468296,5.797523232171798e-123
ASPN,5.350524,6.069986591843772e-98
WNT3,5.166323,1.0040395606844905e-96
GDPD2,5.221843,3.3500015341562295e-60
LAMB4,4.755739,3.7721595766360885e-50
TGFBI,3.2065086,2.5920612602040495e-35
SERPINE1,5.327922,2.530730783121024e-34
P3H2,3.43452,8.104313072003798e-33
TNFRSF21,3.870425,1.637863104055878e-32
CENPP,3.116044,1.4035019189146375e-29
PHYHIP,3.2312887,8.689173095980573e-29
FGFBP1,2.9964166,5.969105582321944e-24
SOCS1,2.7416697,1.8869489255969393e-21
CCDC3,2.3574016,6.931742944772135e-21
IL6R,3.3832366,7.942517422812265e-21
TNNT1,2.911711,9.22879559686369e-21
DNAAF3,4.4705825,4.3694071542095806e-20
SLC2A1,2.6985497,6.815718530229484e-20
COL17A1,2.5771708,1.354021497424289e-19
SLC47A2,3.9440506,3.5021364630617954e-19
ETS2,2.4571335,2.1048724054063293e-18
ATP1B3,2.0326006,2.3419006798221922e-18
CYP2S1,3.291977,2.2143082155921353e-17
SOX15,2.3491552,3.318210384445649e-17
KLK5,2.5822265,4.053439250467366e-17
PDGFC,3.4546318,5.62594714202525e-17
GEM,2.7290242,1.239852028905194e-16
CYB5R1,2.0548568,5.486340263956838e-16
RGCC,2.532388,8.296256920509808e-16
PDLIM1,2.0192304,1.397368006433145e-15
TNFRSF12A,2.191142,9.545523668035715e-15
CTNNAL1,2.4565778,1.2692195799019007e-14
TSLP,3.0374641,1.622589728548109e-14
TXNIP,2.098961,3.473372682160769e-14
KLF4,1.8647648,5.530725235088531e-14
EDN1,2.5513268,8.972867859724213e-14
IL20RB,1.8911257,6.719573276210729e-13
PMAIP1,2.0324118,7.045171726562364e-13
ANXA1,2.0381293,1.1003311157246778e-12
AQP3,2.5083222,1.3671057233072486e-12
ANKRD37,2.3288288,1.7333667481198333e-12
HLA-B,1.9960312,2.7136070860539398e-12
CLEC2B,2.2163978,2.843043753635184e-12
KRT14,3.0782857,3.8665037016665e-12
FBXW7,2.2891304,8.47552553125793e-12
WNT16,2.0172935,1.1145896683539529e-11
CYR61,1.9695841,1.7936454414786555e-11
DLK2,2.14086,1.8969419897543604e-11
MT-CYB,1.1887311,1.9150459292451634e-11
CA12,1.9039159,2.0742481600388195e-11
ADM,2.7269936,4.08745250935421e-11
IMPA2,1.8569398,4.626630735939196e-11
IL15,3.089563,8.364376131333232e-11
MET,2.6992157,1.1922718276971462e-10
EHF,1.660249,1.4103158981041215e-10
HRH1,2.9131832,2.1281249606858863e-10
NCOA7,1.9378967,2.1281249606858863e-10
MIB2,1.7228693,2.4011624356913824e-10
IFITM3,1.6061027,2.489272193151202e-10
KRT15,3.20559,3.7408715692480724e-10
MT-ND5,1.3638518,4.487599250950837e-10
MFSD2A,2.025839,4.621996411952336e-10
HOPX,2.0724955,5.416258643997962e-10
LY6D,1.8669122,7.580896320932233e-10
LAMB3,1.7751434,8.004223528872155e-10
IL18,1.8722905,8.522297728643461e-10
FAM20A,3.904092,8.644835882265086e-10
HTATIP2,1.6899215,1.4172670883301015e-09
S100A10,1.3952348,1.4478201268701573e-09
GATB,2.331001,1.4801894343960832e-09
SLC16A1,2.0372205,1.4801894343960832e-09
ARC,2.296863,2.2783606488025404e-09
TUBB4B,1.3635278,2.790576365363187e-09
CA2,1.6848859,3.3314697066752973e-09
WNT4,2.5464954,4.5984495404984925e-09
TPPP3,2.5797324,5.975268417317765e-09
ZC3H12A,1.6881664,6.70853025509756e-09
PTMA,0.91917527,8.647211619877495e-09
RIN1,1.8455396,8.724922926020777e-09
MT-ND2,1.0050724,1.336776059542368e-08
CACNB4,2.834258,1.4143200497786376e-08
S100A9,2.58066,1.6657826410132966e-08
TMEM43,1.6100091,1.7190478516489123e-08
SNAPC1,1.8978537,1.735555183989693e-08
DEPDC7,3.1592467,2.0978082855322433e-08
IL1RN,1.5836762,2.0988712087495695e-08
FAAH,2.2595634,2.46573654490803e-08
LINC00839,3.4787128,2.9477916575113055e-08
CDH13,1.8097768,2.982303833666976e-08
HSPA1A,1.5529854,3.0405823932544756e-08
WNT9A,3.5550065,3.131958922371598e-08
ABI3BP,2.136154,3.424039220849111e-08
TSC22D3,1.6551083,3.824187288363123e-08
STXBP6,2.3702805,4.115688044298502e-08
EIF4A2,1.0267872,4.2732934423559105e-08
FKBP5,2.0513613,4.3754246390316456e-08
BDKRB2,2.920518,4.3754246390316456e-08
H3F3B,0.76375526,4.3754246390316456e-08
SERPINH1,1.7773986,4.3754246390316456e-08
WNT7B,3.0070508,4.4507054680265845e-08
