names,logfoldchanges,pvals_adj
MT4,9.064652,1.931693122556989e-130
GPRC5D,6.486605,5.122060702173388e-99
KRT85,8.883093,3.4210736540788724e-88
AK8,5.1991405,3.598004652165245e-87
KRT35,8.331765,3.469547360707588e-85
KRT36,5.2458267,5.283271282788863e-76
EFHD1,5.470271,8.473563861585592e-76
LY6G6D,6.1789575,5.405689688142069e-72
ACOX2,4.9377146,1.1519403868139802e-63
CLDN10,4.756967,1.935363336258704e-61
HECW1,6.4332027,2.1533544442181317e-61
CITED4,5.0296183,4.8760696085852306e-57
NT5DC2,4.3355846,6.676594648058004e-57
LEF1,4.5808263,1.5062860846215984e-55
TESC,4.5329676,8.267133346786165e-54
UNC5B,4.493479,1.1132895333219043e-51
HHIP-AS1,4.937911,9.673543752122707e-51
HEPHL1,5.186696,1.3062739195807563e-50
HOXC13,5.1222143,4.227772803149149e-50
SP6,4.2764034,1.733461308842338e-48
OAF,4.656426,8.69955192019335e-48
ASS1,4.960628,1.4108560935373126e-47
AC106876.2,5.5894423,1.2470407481920548e-46
MAZ,4.7524257,1.3410890763842011e-45
IGFBP2,5.323689,1.2349770039246806e-44
FAM26D,5.912095,3.59088501863248e-44
PSORS1C2,4.9669156,1.458927644522609e-42
LAMP5,4.1832714,1.47420555161775e-42
SERF1A,4.384028,7.770092723538918e-42
KRT83,5.7872615,1.4102750779698185e-40
DLX3,3.8860145,2.0302562327931155e-40
BIN2,4.858541,2.957501690219116e-40
SELENBP1,5.85152,3.954453971412702e-40
MT1A,4.7480917,7.193601844848696e-40
CYP1B1-AS1,4.3828855,9.049805261005307e-40
PRR9,5.0362363,1.3396201990443193e-39
KIF5C,4.141626,1.906941731776662e-39
KITLG,4.683651,1.6535431483327944e-38
UCP2,3.9389029,4.257605641511806e-38
C10orf99,4.537608,1.6320473696195566e-37
OCA2,3.8862765,2.2604832970978402e-36
CYP17A1,5.0925636,7.414758988170055e-36
SNRPD3,3.8561192,7.810382757200706e-35
KRTAP11-1,5.636733,2.4869083317973247e-34
DSG4,4.4759808,2.894662848970924e-34
SCD,3.7385778,1.6445391251506287e-33
DNASE1L2,5.1682105,1.4477085313477093e-32
ELFN1-AS1,5.1554947,1.5038093729505522e-32
MSX2,3.5405924,1.0669708444500773e-30
TPGS1,3.683787,2.4853863101633854e-30
FABP4,4.3915486,6.098263639675606e-30
CYFIP2,3.8199244,1.345615337651743e-29
MSX1,3.716052,1.053753722271741e-28
CEMIP,5.225917,2.5109344461308853e-28
KRT32,4.5655274,2.9169445580589486e-27
HES2,4.327619,3.101626676674735e-27
TPRG1,4.177473,3.491217194604933e-27
DUS1L,3.5268304,4.345760511779587e-26
SYT7,3.9342458,7.49133532850438e-26
SRM,3.6208053,9.209215798168114e-26
FADS6,3.664025,4.1240910741539263e-25
DLX2,3.5513844,4.310166291563859e-25
MDFI,3.4815516,1.81867662372656e-24
ASCL4,4.4355254,5.693642627262533e-24
MTFMT,3.4023836,7.726261230086561e-24
SLC7A8,3.9128532,9.163495215853292e-24
NSMCE3,3.3376012,1.697375817081994e-23
DLX4,4.241644,2.0906834391924265e-23
AC005863.2,5.731139,3.51831015956439e-23
C9orf66,4.0089326,3.844769244755583e-23
PTOV1,3.3321643,6.385031823563103e-23
SMAGP,3.3153021,5.040504117127577e-22
PRR15L,4.8073177,7.387085963975087e-22
CXXC5,3.1518712,8.98037914140994e-22
NDUFA13,3.3689206,1.3413418368864515e-21
NOSIP,2.829831,1.4573493865604385e-21
ZNF516,3.8797581,1.8805315193152345e-21
ODC1,3.1855247,2.7780448231867653e-21
PART1,3.4227328,3.448278934901868e-21
OR7E28P,4.9734197,4.677652179954523e-21
PRSS23,4.5684857,5.564978033116113e-21
EIF5A,3.4367108,6.628994277470279e-21
PGP,3.5035596,7.067957027353698e-21
SURF2,3.0594466,8.236371880179024e-21
APCDD1,2.945166,1.585567793173609e-20
LOR,4.6248393,2.1255214637539316e-20
KCTD6,3.506375,2.1255214637539316e-20
FAM49A,3.5793564,2.184982953676575e-20
RPL23A,2.5937693,3.31680314978377e-20
POLR2L,3.4052515,4.56835162179656e-20
PTMS,3.1208177,6.386549840940136e-20
CERK,3.248291,8.417873357701134e-20
RPS10,3.6190436,8.417873357701134e-20
KIF26A,4.389704,8.722494840717257e-20
FLAD1,2.7844927,8.722494840717257e-20
YRDC,3.349385,9.187148396908654e-20
GOLGA7B,4.1290035,9.675402685793789e-20
RPS29,3.3117821,1.3147185944602517e-19
CTHRC1,3.3887162,1.5205047823821682e-19
RPL37A,2.849308,1.9856491960924812e-19
