names,logfoldchanges,pvals_adj
RP11-277P12.20,4.14855,1.0931882821539691e-120
HES4,3.5272012,5.718988131536053e-102
BARX2,3.241337,1.0128891213259547e-101
NDUFA13,3.3351185,9.611070580881924e-101
TPGS1,3.6237025,9.133471974592056e-97
SMCO4,3.3362372,9.925579374347748e-96
PDZRN3,3.5962343,2.0392336250904263e-95
KRT6B,5.5770464,8.68575593020945e-95
KRT6C,4.5368643,8.118256080167704e-88
MIR205HG,3.4767962,9.886982565274362e-87
CBLN2,3.6785967,1.655052833779927e-85
HSPB1,2.8047547,3.8965385033693033e-85
LGALS7B,4.1260657,2.955199102518499e-84
APOC1,3.2781343,4.741021679465395e-84
PKP1,2.9662743,5.734103152204943e-84
RPL41,2.9714928,9.363446429644573e-83
PARM1,3.3582582,1.0258282602654017e-81
CALML3,4.1444764,3.2562809415133932e-80
TMSB10,2.6526306,3.2562809415133932e-80
SFN,3.1673937,8.128298843856172e-80
RPS25,2.4759724,8.210183490561918e-78
SDC1,2.9873133,1.2644937842495953e-77
RPL10,2.3634288,7.465700435458372e-77
ATP5E,2.5473845,1.1418711360716326e-75
RPS28,2.706274,6.688359333727232e-75
KRT16,5.5863824,8.609737112212072e-75
RAC1,2.537299,2.6669155095247277e-74
RPS10,2.9056413,2.2951255074097855e-73
FLNB,2.7975647,3.996226014507237e-73
KRT6A,4.6953826,6.413807796316433e-73
PTOV1,2.9535432,1.2114258754489748e-72
ACTN1,2.8404286,1.3304212619587088e-72
DSC2,3.0305705,3.574037217068181e-72
S100A16,2.987013,5.142249612505906e-72
PHGDH,2.5826466,1.9239653790547625e-71
RPL37A,2.273301,2.2045687222468547e-71
IFFO2,3.037652,6.20302693968674e-71
RNF187,2.922957,6.20302693968674e-71
RPS15,1.9174068,2.5313761288714993e-70
S100A11,2.9225287,1.2934202769826658e-69
ACTB,1.9388504,1.9580607798616105e-69
C5orf46,3.707847,2.132488573027621e-69
OLFM2,2.7849436,2.1909835001634495e-69
RPSA,2.3635483,2.1909835001634495e-69
KRT17,4.768628,2.3390446021885327e-69
LYPD3,3.28802,3.3860258439882655e-69
RPL36,2.4523175,9.018087737575116e-69
IFI27L2,2.7074523,1.7792484248334145e-68
RPL36A,2.4688997,4.924392333706567e-68
PET100,2.6532261,6.584035233676707e-68
VSNL1,2.418079,1.0623330073617226e-67
PTMS,2.448412,1.0623330073617226e-67
RPL28,2.251011,1.1590983200904819e-67
RPS4X,1.9260688,1.3174796933073655e-67
TMA7,2.1077702,1.4101390754527924e-67
S100A1,3.8334758,1.7384403639551953e-67
GJB2,3.26231,3.439226552458544e-67
RPS27,2.253155,4.037907220118253e-67
ENDOG,3.5527897,6.293320650878629e-67
RPS17,2.3677902,3.1386604692632093e-66
RPL37,2.1501348,3.1386604692632093e-66
RPL7,1.9826202,7.237025363699879e-66
ATP5I,2.7872472,8.021456982985871e-66
SLC15A1,4.202821,9.689798373458603e-66
PPP1R14B,2.7392983,2.0595904773559465e-65
COX7C,2.1540198,2.2171351223707335e-65
NAGK,2.6688554,2.289816752905871e-65
SBSN,3.8174791,3.151085098247583e-65
TRIM29,2.2154744,4.983070205845291e-65
TYMP,2.9035535,1.3485088725623063e-64
NDUFB4,2.1920276,1.50573792266545e-64
RPL18A,2.2641265,1.6397886607902016e-64
RPL38,1.9938158,1.8985596704066298e-64
JUP,2.4024575,2.267190344994545e-64
RPS7,1.8833086,3.0204717302046073e-64
GSTP1,2.3827097,3.550092282062844e-64
RPL26,2.0659585,4.0055701306301054e-64
COX6C,2.2253358,8.734675481607496e-64
RPL35,1.9757392,2.3630002811156262e-63
APOE,2.7835612,2.3630002811156262e-63
OST4,2.261018,2.570572751912895e-63
EEF1D,1.782916,3.400135413002207e-63
DSP,2.368886,3.523087134478552e-63
PRSS8,2.669925,4.500679828742491e-63
RPL17,2.3447874,9.893163772013464e-63
RPS29,2.5181372,3.83668411202335e-62
RPS24,1.7396799,5.2516628700102435e-62
TRAPPC8,2.9367063,6.105229331188293e-62
ROPN1,4.0440826,6.315783260214048e-62
TPM1,2.8166585,9.035345870377465e-62
ROMO1,2.5866163,1.0840679876630234e-61
POLR2L,2.337886,1.5148454827082597e-61
MYL6,1.9287531,1.989729860632922e-61
CHMP4B,2.295838,6.653983534849513e-61
CASP14,2.8699164,6.899514354559137e-61
TCEB2,2.2530124,7.83350844916981e-61
BBOX1,2.7999926,1.249611150524432e-60
ADGRB1,3.9979389,1.8726832465917073e-60
FABP5,4.234252,1.903846355654546e-60
COPS9,2.3560758,2.7655405119340506e-60
