names,logfoldchanges,pvals_adj
KRT73,10.474098,0.0
KRT71,9.558217,0.0
GFRA3,7.859134,0.0
KRT28,9.758853,0.0
CRNN,8.482557,1.882047137149045e-261
RP11-148B18.1,7.9243565,1.3263383285692695e-227
KRT27,8.454521,1.4474471293373905e-200
PSORS1C2,6.795506,4.506859216775683e-182
FBP1,6.5167565,6.75494880319348e-178
KRT25,8.361465,3.8412032147661467e-177
PADI3,5.758871,6.1649184528393226e-176
TCHH,7.0380497,1.054556352863841e-158
NKD2,6.609346,1.2487099249387923e-150
SLC52A3,6.5341353,4.1680688954403125e-138
EPGN,7.232642,1.9101398584977037e-133
PAQR5,5.769246,1.879190620037228e-132
GAD1,7.479266,5.9852020557955016e-123
NT5E,6.2794275,1.2543113710359855e-117
KRT74,6.6328015,6.185616991551423e-117
FAM49A,5.232185,9.166687233532638e-116
ERP27,6.217869,1.0481687086816895e-111
DLX3,5.1120124,3.89782454800415e-110
ARHGAP29,5.5912037,2.720047057756554e-109
TGM1,5.1494565,2.0640728134220698e-107
DCLK2,7.092578,1.3231375918382725e-105
SCEL,5.0520883,3.949087024540807e-105
CYP26B1,5.3715577,1.1051768379812206e-101
PLEKHG4B,5.053007,3.4999176425579745e-92
BMP4,4.808552,5.207376562288589e-85
ATP2C2,4.3137383,8.627072255386072e-77
GAS2L3,4.7246222,1.0009200272899123e-76
RB1,4.487065,7.11427336868712e-76
SDSL,4.7105746,6.963863057919848e-75
LBR,4.3572364,4.7157402749508896e-74
FZD10,4.980142,5.429462202025644e-72
CCNA1,5.1634126,7.398393312016109e-72
DEGS2,4.678537,1.1487161708690256e-71
SLC30A1,3.705067,5.124837548041288e-71
NALCN,5.9122376,1.3978117642141956e-70
CUX1,4.125794,5.129969147411296e-65
PRR9,6.0970078,1.3173454583336896e-64
SP6,4.645847,4.753115053032539e-64
SPNS2,5.012624,2.046322458061112e-62
GUCY1A3,4.9190717,1.3979884511224152e-59
CLIC3,4.787127,1.3164472223209924e-57
MUC15,3.7021847,3.570337332778335e-57
ENC1,4.4409976,7.849397306871228e-57
NBPF14,3.904575,4.939019868971567e-56
LGALS12,5.2919426,6.420096502514086e-56
SLC27A4,3.8098617,1.2294277293153585e-55
SERPINB13,4.823407,3.411229729889112e-55
MSX1,3.8775618,2.8795837556913914e-54
LMO7,4.353172,1.1903438363702216e-53
GDPD3,4.703789,1.5477884281919532e-53
ITGBL1,5.2296,2.508787229059634e-52
GOLGA7B,4.2682667,2.6331005503276336e-52
UPK1A,5.4079027,7.016452113614572e-51
MSX2,3.4997106,1.9854279332399642e-50
DNASE1L2,3.3637676,6.391610780382691e-50
CLDN4,3.746506,1.2708091992308225e-49
KLK7,3.474448,1.1410257905985836e-48
RDH12,3.505123,1.5431099227202117e-47
C2orf82,3.7947583,2.7912937084780974e-47
DLX4,4.1330433,2.0462672859982753e-45
BAMBI,3.285432,1.1754356740389862e-44
CTXN1,3.959026,6.018428383165152e-44
ULK4,4.327472,7.133422607024124e-44
SLC5A10,4.4605193,1.4142709256803655e-43
MOCOS,5.0769243,2.7092453454928277e-42
WNT11,4.576763,5.889744879824034e-42
CAMK2N1,3.8368204,6.875781690140388e-42
GATA3,4.1499357,7.093175642696106e-42
LINC00636,5.2813807,3.241481646350294e-41
CTSC,3.9600565,3.476117633081313e-41
KIF26A,4.012302,5.35009443977609e-41
NOTCH2,3.3988142,6.834045316738434e-41
TMEM35A,5.103883,1.8602196183641726e-40
TMPRSS11E,3.9840357,6.09094296001863e-40
IVL,3.305459,8.55196207398906e-40
NECTIN4,3.2364283,1.4024450715554558e-39
TM7SF2,3.468773,2.875922973968809e-39
KRT2,3.491066,3.504164116534083e-39
CYP2J2,5.1938057,2.1764486472169795e-38
LONRF3,4.4551916,3.885697556599173e-38
MYH14,3.3594139,4.95880927807381e-38
SDR9C7,3.6866398,1.0336955277956101e-36
SGK3,3.6536548,1.0879199472954052e-36
MFSD2A,2.8397017,1.2099978110375528e-36
NRP2,3.4268234,2.597474260969142e-36
DCBLD1,4.539218,2.154251070163846e-35
RP11-356I2.4,4.314473,3.6131971119036185e-35
ID3,4.1601305,4.193702566815169e-35
FAM89A,3.5520496,1.2062888179270768e-34
KIF21A,2.9015548,6.008970142998595e-34
SLC5A1,3.7563543,7.817827328168514e-33
RP6-65G23.3,3.9689376,1.2331638475483879e-32
HEYL,4.260624,2.109061325396894e-32
PRPH,4.5801454,3.0837885814163563e-32
CTB-181H17.1,4.583992,1.3619875290258103e-31
PPM1H,4.6066723,1.4294295487420878e-31
