names,logfoldchanges,pvals_adj
PTGES,5.396948,6.084254140396106e-94
KRT1,7.4902787,2.2580144930305352e-67
RP11-295G20.2,4.1183662,1.9478687126420598e-56
KRT2,6.1194787,5.6568073761335035e-50
LY6D,5.8864427,8.495426224583371e-50
KRTDAP,6.0702257,1.1370579768363459e-49
NMU,3.6264038,2.035337738592321e-49
CEBPA,3.4066203,1.0125973079129974e-46
MAL2,3.2026086,1.2283140520452403e-45
THEM5,3.8914583,6.90363713351449e-45
EPHX3,3.2953568,3.962642034390092e-44
CHP2,3.6638224,1.7277141275259608e-43
SLPI,3.9106052,2.190955995573759e-43
AC006262.4,3.9321928,6.196320790300523e-43
C2orf54,3.653565,8.716373286467523e-42
DEFB1,3.883009,1.4583504481186758e-41
ANO1,3.3906994,3.582327238502676e-39
HCAR3,3.1389704,3.947494649521153e-38
KLF5,3.0166066,5.7652317192393164e-37
RAC1,3.0602112,5.865605060841564e-37
KRT10,6.2065716,1.5352609423931926e-36
LGALS7B,4.3534846,6.306020466609137e-36
PLAC9,3.809583,2.161141637430268e-35
DMKN,5.295634,7.554480673835162e-34
MT-ND3,2.435659,8.964400459681025e-34
RPS28,3.0550747,1.0112641004901613e-33
PDZK1IP1,3.053739,1.2446207014287787e-33
RPL41,3.0309737,1.4756930625210881e-33
RPS25,2.623846,2.5439877048904527e-33
RPS4X,2.2793467,2.5439877048904527e-33
CLEC2B,3.3748271,2.7178002832107806e-33
RPL10,2.5515099,2.800710308913433e-33
CSTA,3.5204792,3.0969698899672205e-33
H1FX,3.037072,3.644492673184836e-33
NDUFA13,2.874509,3.644492673184836e-33
C19orf33,3.2384946,9.409178642895596e-33
RPS21,2.4466286,9.409178642895596e-33
ATP5I,2.8966873,9.705176494215165e-33
IGFL1,5.3893657,9.922110048768091e-33
RPS29,2.9853258,1.3063679816941853e-32
RPL35,2.3170485,1.3990907794914107e-32
RPS15,2.1420243,2.3930915624861808e-32
SFN,3.1949658,2.554289091782752e-32
PTGS1,3.2578897,2.557285541070971e-32
IFI27,3.6652303,3.036203277743987e-32
EIF5A,2.7847636,3.274966920514842e-32
CEBPB,3.092911,3.9420785557392956e-32
RPL37,2.4064696,3.9420785557392956e-32
RPL18A,2.587443,4.243224105764695e-32
RPL36,2.610254,4.599909647094987e-32
RPL37A,2.3854043,5.245330320047761e-32
POU3F1,3.0902903,7.887464867682736e-32
RPS2,2.271452,8.364446976483707e-32
RPL7,2.254525,1.1152609052013392e-31
RPL26,2.4097657,1.135284836028216e-31
RPS3A,2.132533,1.2689339526042872e-31
RPS27,2.5638855,1.3012665613185825e-31
ATP5J2,2.7019768,1.3391845630575061e-31
DSG1,2.9326148,1.3915336647725498e-31
RPL38,2.1379755,1.467686647037456e-31
RPS17,2.6647067,1.9047705787620637e-31
RPS10,3.0076542,1.9842188623447112e-31
POLR2L,2.649897,4.846701190938984e-31
RPS7,2.1544013,6.260307736822496e-31
RPL21,2.2854168,6.260307736822496e-31
CCL27,3.5587356,7.012921960927129e-31
RPL39,2.2424004,7.447064997133576e-31
NBL1,2.6108272,9.840634096385501e-31
RPS12,2.1814911,1.3440511905689242e-30
RPS23,1.9085621,1.3856541374357178e-30
RPL31,2.0428386,1.4857038620711715e-30
RPL36A,2.5538309,2.3812832219720542e-30
RPL23A,1.9347734,2.601074184889126e-30
RPLP1,1.7769594,3.216898334675104e-30
RPSA,2.5032268,4.2533163198506334e-30
SRM,2.6995955,4.657052780377181e-30
MT-ATP6,2.1126616,9.891587591811586e-30
YBX3,2.3669825,1.0134280520843064e-29
CEBPD,2.897194,1.0390603976403783e-29
AQP3,3.5499527,1.0645488169543519e-29
RHOV,2.8990247,1.0727159913766938e-29
RPL28,2.2992558,1.457875205495895e-29
MT1E,3.2030835,1.4868043321446583e-29
CAPG,2.3675942,1.8482987448930043e-29
RPS24,1.8439717,2.6042276394801833e-29
FRAT2,3.4395635,2.6042276394801833e-29
RPL17,2.4496455,5.009469327799696e-29
SNRPD3,2.7667396,6.630520138542079e-29
EEF1D,1.9816265,7.066610142914136e-29
RPS3,2.176155,7.433953696129881e-29
RPS9,1.7704256,8.341729241706923e-29
NDUFA4L2,3.4125504,1.6307248437184408e-28
RPL27,2.0482187,1.7094772545301588e-28
RPS11,1.8636415,2.690270704026154e-28
MT-ND2,1.6966871,2.752723925892023e-28
RPLP2,1.8125526,2.820888682129529e-28
RPL32,1.8078245,3.0220634896592864e-28
RPS6,1.6514835,3.394344338135835e-28
RPL35A,1.6833991,3.4641937961362926e-28
RPL27A,1.8331188,3.918291081793409e-28
