names,logfoldchanges,pvals_adj
GAS6,3.3283787,1.5670163281055366e-84
CHPT1,3.7810576,1.1729922839143369e-81
SFRP1,3.1808693,1.0134285644207512e-70
KRT15,4.416338,1.3579141410457568e-64
DCN,3.0185397,2.3854293812195406e-62
FRZB,2.611972,2.1242686643601966e-55
CXCL14,4.5272365,1.2548972393388366e-53
DIO2,2.6245077,3.867382471228236e-51
CHST2,2.4374716,3.738366061519529e-46
SCRG1,2.5119226,1.536714095325173e-42
WIF1,2.4220798,3.188401721847246e-41
TTYH1,2.937052,2.670211736504334e-39
SELM,1.9946408,6.335245873333692e-38
BCAM,2.06573,1.5890722788803577e-36
LUM,2.912447,2.730436819795957e-35
RPL41,1.3866614,5.376751573394191e-35
RARRES2,1.9919143,1.0236254430482817e-34
C2orf40,2.3258765,4.12852364790195e-34
MAP1B,2.074186,3.199938682455683e-33
FBLN2,2.4847,4.461436956575036e-32
FBLN1,2.3089926,7.274118680452993e-31
LAMB3,1.8330554,9.969897608490457e-31
FST,2.471859,1.1124873479936483e-30
SERPINF1,2.2591238,2.0547760609650627e-30
ZBTB16,2.5999844,8.614494830813766e-29
DKK3,1.7853405,3.031128656950617e-28
KRT19,2.885,1.2088695803017247e-27
RPS27,1.1921545,3.125379781684475e-27
EFEMP1,1.8920262,1.0367502572359935e-26
CCDC3,1.8284543,1.4063576788363245e-26
IGFBP7,2.1255622,2.2028145621915567e-26
BOC,1.8737278,6.065003963302446e-26
CEBPB,1.6869373,2.7676490178808184e-25
FTH1,1.2730459,2.615772423357169e-24
GAS1,1.8452241,1.3770185699471222e-23
COL17A1,1.5502361,4.379083055506422e-23
LGALS1,1.8269975,2.671169163829456e-22
BGN,1.9156533,5.673699575116997e-22
CTSF,1.5572951,6.739909052028722e-22
ITM2A,1.5050371,1.2911116421235335e-21
EPHB6,1.4747996,3.863275214890065e-21
MT1E,1.6665936,5.3842245851706604e-21
EMP3,1.4759825,6.814156490015041e-21
LHX2,1.6614591,1.5755105340836147e-20
PRRX2,2.6735406,1.7302444387465806e-20
RPL10,0.9201057,2.200105747350579e-20
CLU,2.2772112,3.75556574365196e-20
S100A6,1.2808652,1.4619835602449528e-19
CYGB,3.3918097,1.4908366788565865e-19
EEF1D,0.9677324,1.7401935232375017e-19
TNC,1.7140737,1.5724345156978645e-18
GLUL,1.2541735,5.606418821179319e-18
RPS25,0.89504254,7.160415808564763e-18
RAC3,1.8042086,2.607832922496809e-17
TCEAL2,3.0963101,1.1870492785956473e-16
CD200,1.8546525,1.1924826437484758e-16
RP11-490M8.1,1.4905542,2.909347615570184e-16
HTRA1,2.0543976,5.348437495606581e-16
PTOV1,1.7728262,9.520871014668784e-16
C5orf38,1.6958323,1.0308600759913758e-15
ISM1,1.6269686,1.5022555496126475e-15
STMN3,1.3401942,2.4261157377579047e-15
MATN2,1.5093997,2.749595339448326e-15
LTBP1,1.983526,4.036489085248464e-15
TNS4,1.4788123,5.389020321772179e-15
EFEMP2,1.7445401,2.27327587292555e-14
BARX2,1.3146276,4.42866884405663e-14
RP11-119J18.1,4.056881,6.487065058768636e-14
FBXO2,1.2928104,7.435457106198613e-14
RPS10,0.8733104,2.529473613551501e-13
C8orf82,2.0055761,2.7777631564913833e-13
ANGPTL2,1.3310232,4.17840046641928e-13
SERPINE2,1.3923279,5.513297446028532e-13
SNRPN,1.276195,6.649503936007407e-13
BAALC,1.84045,1.3875067252621344e-12
SCT,3.5973194,1.8325224537618794e-12
HSPB2,2.442098,2.350592798341555e-12
S100A1,1.4661541,2.5589591487174974e-12
TMEM163,3.0058506,7.341440854067205e-12
TMEM200B,3.0899482,7.341440854067205e-12
APP,0.9578031,1.1152229687616327e-11
LRRC38,3.0860963,1.2376639851780194e-11
MIR205HG,1.020503,1.9897285730512522e-11
RPL21,0.7503514,4.465163557754553e-11
ADIRF,1.2766367,5.5222159038071443e-11
SECTM1,2.3682323,6.344984348545106e-11
ART3,1.5605261,9.347000413749033e-11
OR7E28P,3.0797973,1.3471819015634053e-10
MT1F,1.733715,2.155428287318518e-10
SLC43A3,1.3116772,2.459015295838016e-10
COL9A2,1.6974379,3.4833163549963035e-10
LMO4,1.0665474,3.4833163549963035e-10
ZNF503,1.3973436,3.826388018770693e-10
H1FX,1.2306347,5.628739389956279e-10
FXYD6,1.0402688,5.628739389956279e-10
MAP1LC3A,2.1620378,6.956247616198598e-10
RP11-85O21.2,1.9306068,9.53949165254555e-10
NFATC1,1.7441016,9.605392801663313e-10
RP11-1012E15.2,2.5267408,1.038997934771309e-09
S100A4,0.79906005,1.3675707119882381e-09
