names,logfoldchanges,pvals_adj
CD3D,9.599456,0.0
CD3E,10.1527405,0.0
CD3G,10.181221,0.0
CD2,8.942321,0.0
CD48,7.7922897,0.0
CD69,8.316895,0.0
KLRB1,8.9686,0.0
SPOCK2,8.221593,0.0
LTB,7.7194295,0.0
ALOX5AP,6.506549,0.0
TRBC2,7.681773,0.0
TRBC1,8.900744,1.8039531326599713e-293
SRGN,6.733214,7.632553736544577e-272
LCK,8.184401,2.688164302422318e-267
IL7R,9.30031,7.192019085866045e-267
LAPTM5,5.880286,3.5542688775715752e-264
SAMSN1,7.958363,2.680952637601924e-259
JAML,6.8800817,1.3576285358063667e-256
TRAC,6.944128,8.626794093211967e-254
HCST,6.54844,8.626794093211967e-254
CD37,6.113826,1.792706136779475e-247
IL2RG,6.696047,2.529506581830694e-243
PTPRC,6.39765,3.164830996718217e-243
RGS1,5.9270372,1.790408537371499e-242
CD53,5.8516464,2.1339927975190696e-227
CD52,6.740768,3.326429874514171e-225
RHOH,7.3356996,7.157818235820805e-205
CORO1A,5.8691,1.0286100866871935e-199
SKAP1,10.568312,2.59408373805169e-177
LSP1,5.020003,1.3528042004371257e-169
CTSW,8.17125,6.978752741584148e-169
FYB,6.2256484,9.107074562088641e-164
LINC00892,8.349749,2.358719406718455e-158
ITGB2,5.0860915,5.026219047395511e-154
GMFG,5.072968,2.450573010762509e-143
NCR3,8.700734,1.5318248446903021e-139
GZMA,8.704223,1.936250316067888e-137
P2RY10,7.680998,1.33131219253814e-133
CXCR4,5.377868,2.1787830867033597e-128
TAGAP,6.1730723,2.8134156452916487e-119
LCP1,4.9857483,1.1903288153920024e-118
GPR65,6.299689,3.475604964703161e-117
TNFRSF4,7.1009703,9.649709433668629e-111
DUSP4,5.228201,1.8793633972653107e-106
RAC2,4.866011,2.2086239322282002e-106
GPR183,4.5237865,5.060790454453601e-106
CYTIP,5.0277095,1.7371458479200124e-99
ADAM8,5.2440224,2.0527501125390926e-98
CD6,5.400341,8.35849634359026e-97
CCR4,7.04678,1.9451695676635504e-96
ARHGDIB,4.640856,4.857253059881888e-93
TBC1D10C,7.0214553,4.8947848568827246e-92
ICAM3,4.6312585,3.029186624924335e-87
SLC2A3,4.5331306,8.57736954232323e-81
CST7,5.086426,1.1228591733737661e-80
EVI2B,4.745084,1.8811127682887035e-79
COTL1,4.2361197,3.96702174299269e-77
C1orf162,4.6470046,3.2580844099832716e-71
EVL,4.6029243,9.894770007297345e-71
MYO1G,5.849581,1.2404499983762091e-66
S100A4,4.8997064,4.4125630973067696e-63
GPSM3,3.8037512,9.051884938998901e-61
ADGRE5,4.5274763,2.493391148591802e-59
TRG-AS1,6.147329,4.523621164040886e-57
RP11-138A9.1,4.359425,2.8206097653473528e-56
LAX1,6.348686,9.445750992061558e-56
CD5,5.0150576,1.881149905156623e-55
PCED1B-AS1,5.77951,1.491585438307527e-54
SLA,5.2287087,2.4504728459594193e-54
DOK2,4.746759,8.262641086357498e-54
HCLS1,4.201998,1.7691152779414856e-53
TSC22D3,3.8243096,5.653861757604423e-53
RGCC,3.905852,3.9241593493735194e-49
TOX,4.8849335,7.41965371771263e-44
BST2,3.8308513,1.470122602184044e-42
BIRC3,4.3498216,3.7482923527786435e-42
STK17B,3.6137452,5.047232865550825e-42
IKZF1,5.191112,6.679415805913786e-42
VIM,3.5249305,3.654498576540329e-40
RP11-464C19.3,5.932312,4.115671604352725e-40
PSTPIP1,4.6486974,2.9698052439336115e-39
PTGER4,3.608103,3.139712666852266e-39
CLEC2D,4.729219,1.3781301469345565e-38
NR4A2,3.2791526,4.426012890841174e-38
ACAP1,3.7867413,5.012689212961338e-36
CD74,2.281797,3.1154058745842465e-35
IL16,4.6812305,4.1507513005095276e-35
FERMT3,3.7668202,1.967060788363698e-34
SELPLG,4.7608852,8.261632065950176e-34
EVI2A,4.11,1.3501182370860825e-33
MAP4K1,5.2993617,7.216777785734915e-33
HLA-C,2.304103,1.405021365523723e-32
TNFAIP3,2.856577,7.258625822732728e-32
CD84,4.790225,3.0203957561469613e-30
RUNX3,3.6676717,3.652294850599406e-30
CREM,3.41116,4.989183197151324e-30
SH2D2A,4.7454553,1.5534433572980417e-28
GLIPR1,3.5327976,5.481530179503928e-28
MFNG,4.1992493,1.1307330693086547e-27
ARHGAP30,3.901094,1.5630455013199764e-26
