names,logfoldchanges,pvals_adj
SAA1,4.009679,3.1466943881065855e-158
KLK5,3.248782,9.830398047435378e-133
FAM132A,2.767003,3.711501042993225e-105
PTN,2.7213683,3.529490749497385e-97
MOXD1,2.5361066,6.855263741111188e-86
TINAGL1,3.0753043,8.22278166000086e-83
ELN,3.0387673,1.3996155251804823e-82
CYR61,2.4118416,2.635197705042317e-80
CTGF,2.815525,1.3520320314030178e-76
PTHLH,3.0721483,5.624931177795419e-72
COL17A1,1.9119003,2.0411405944419236e-56
EMID1,2.9972043,1.1877733386582535e-55
SPTSSA,1.7398704,1.0574732364685219e-54
SEMA5A,2.369304,2.1284714701091786e-54
KANK4,4.2236667,1.6779414899782668e-51
DLK2,2.25861,2.4299870511385894e-51
PDE1B,3.7954278,4.882305040581554e-51
TPM1,1.6977957,1.1024786159321282e-50
FST,2.231075,7.979422971020178e-50
CYP27A1,1.8416142,4.669208915735062e-49
AVPI1,1.7759035,3.108111125075382e-47
ANXA3,1.9897251,1.941016014015567e-46
ARHGAP25,2.868945,1.1443150697495258e-45
GAS5,1.1465726,1.3659713346629752e-44
LMO1,2.1251352,2.01956857815762e-43
ANGPTL2,1.8223696,2.4382879941375653e-43
DAPK2,1.8379288,4.062924181390562e-43
THBS2,1.8529065,4.845887130546139e-43
LTF,3.3525743,7.167599388574662e-42
LAMB3,1.5959487,9.4539738307524e-40
CHI3L1,2.3184614,8.799284169087456e-37
NCOA7,1.8541546,9.366537603344488e-37
C9orf16,1.3476987,2.1437133136519163e-36
ATP1B3,1.2373813,3.432895101108933e-36
KCNJ15,2.0708709,4.922891269653992e-36
CTNNAL1,1.7435017,2.1241315103756131e-32
ZFP36L2,1.2152705,4.305838013473828e-32
DLL1,2.3980246,7.989840076365653e-32
PDPN,1.5967205,2.0340174916828204e-31
SOX7,1.604922,2.3313482475874244e-31
ANKH,1.7024859,2.741401156142599e-31
EPHB1,2.9149146,2.5874058683327766e-30
NFIB,1.2510611,3.0882447989046866e-30
CMTM3,1.6921043,7.429140390258107e-30
KLK10,1.8881729,8.062134322234904e-30
RBBP8,1.7714583,1.592599472857189e-29
GLDC,4.0267777,1.5939249355955738e-28
PHYHIP,2.1277418,2.48297237464917e-27
CDH13,1.6124903,4.8875361699718304e-27
C1R,1.8580209,4.471419782727357e-26
TNFRSF18,1.3937718,7.170929491424975e-26
IMPA2,1.1478077,8.080646003021949e-26
ALDH3A1,1.568597,1.0354043610358917e-25
TXNIP,1.1857795,1.2752758647117013e-25
ADGRL3,1.3659966,1.3910445076422666e-25
GPX4,0.9492196,1.6922373479001706e-25
SNHG5,0.97183037,2.6755414928411004e-25
IL15,3.0326924,9.710624818557194e-25
FURIN,1.6357087,1.6377175087563923e-24
PGM1,1.3809141,5.332039504656868e-24
TP73,1.6303115,5.9477864067437636e-24
PMAIP1,1.0862644,9.01721233624005e-24
TMEM45A,0.87556744,2.107561870720258e-23
CHCHD10,1.1336241,2.7127063568964446e-23
SPARC,1.2710305,2.7127063568964446e-23
LIMA1,1.2859461,2.7127063568964446e-23
JAG2,1.8527851,2.9486390740123773e-23
LCN2,1.9968972,3.1995825366417247e-23
ASS1,1.3165402,1.0226237652070521e-22
CCL2,1.906343,1.0549463818903022e-22
LRRC8B,2.0413892,1.2400028272251266e-22
IFITM3,1.126241,1.2706617229268903e-22
EIF4A2,0.77046466,1.4537473409669277e-22
SNHG8,0.9207177,1.5270284129201683e-22
HSD11B1,3.7782316,1.5381671026845418e-22
ZNF22,1.4402863,1.7261890156032868e-22
GABRA4,2.7525053,2.0249791861174311e-22
SERPINH1,1.4997818,2.120964766045303e-22
SLCO2B1,2.233635,2.891738663320309e-22
PTRF,1.0578283,5.911163927638501e-22
ELAVL2,2.3324966,2.4697914100899432e-21
AARD,1.9573238,2.8820684589561125e-21
S100A2,1.4948568,3.604434363101566e-21
RPL13A,0.76849276,4.243635558164499e-21
USP31,2.4282196,4.446242013198541e-21
PTMA,0.61932844,5.6682385857664475e-21
NOS1,2.2474701,1.1566421938668917e-20
TNNT1,1.8055124,1.7931654952297052e-20
KRT15,1.8467324,3.5884618402739513e-20
AQP3,1.3013835,5.50827770518944e-20
NNAT,4.502633,7.775785655165201e-20
GPX2,1.5548118,9.162148025393525e-20
PABPC1,1.030689,1.175990456232719e-19
CDCA7,1.9632612,1.343973838827552e-19
MT-RNR2,0.8297949,1.370630600480562e-19
PIK3R1,1.2656521,1.3826580894907692e-19
DST,1.1364686,2.3163962401998327e-19
IFNGR1,1.1933705,2.456103821997669e-19
KCNJ2,2.4671328,2.627669412611691e-19
FKBP11,1.4824796,1.2281620223959602e-18
