names,logfoldchanges,pvals_adj
CBLN2,4.9412313,1.436116690998126e-279
PDZRN3,3.8926795,5.822318263812143e-185
TRAPPC8,3.837178,1.364697964418359e-178
PARM1,3.5448208,1.8605173135936583e-159
KRT16,5.69774,7.777247961755366e-137
VTCN1,4.038525,6.50054346413244e-118
TM4SF1,3.1036217,1.286649296671623e-108
LYPD6B,2.7012675,1.2929324823856965e-106
KRT17,4.440305,3.80232045143359e-102
KRT5,3.2192273,4.2363146153424853e-100
APOE,2.8213003,3.72042960597003e-98
BTG1,1.8070965,5.689072177264073e-98
HSPA2,2.4998744,1.3527768034019695e-91
EFNA5,2.594427,7.969039421494323e-91
ACTN1,2.435121,1.017262436738652e-90
SDC1,2.3231845,1.5564491607960751e-83
KRT14,3.5021582,3.1533739921430905e-83
S100A2,3.3120205,8.69618742635221e-82
CLDN8,3.4453247,1.4545425062700147e-81
GJB6,2.7075891,4.704688298251322e-81
KRT6C,3.0941424,5.748885634743196e-81
APOC1,2.357111,3.7000800120838826e-80
MFAP2,2.5028677,6.490858975185112e-80
SMCO4,2.5144074,8.83870682881086e-78
LURAP1L,2.5722165,7.482435772441901e-75
RHOV,2.2620907,3.510840569513683e-73
S100A1,2.5344298,4.149211225717766e-73
GJA1,2.2127488,1.386090694395366e-72
NELL2,2.8694057,1.6365051172138274e-72
MRC2,2.4118755,1.6444258658026046e-71
GRP,4.1125197,1.0866125295065294e-70
KRT6B,3.2914248,4.3413229747348106e-70
S100A14,1.9910084,4.656394916357506e-70
SLC1A6,3.0875103,1.784793033375951e-68
FABP5,3.504343,1.1143805588486756e-66
PHGDH,1.8427707,1.3556788807548078e-66
FBLN7,3.6153235,6.846240385077391e-64
SDC2,2.2032192,7.261682837798964e-64
LGALS7,2.139649,1.400411039415218e-63
ANXA2,1.5221345,1.406627853453786e-62
DEGS1,1.8872162,3.242660864476757e-62
CCND1,2.030846,4.908072542240758e-62
LYPD3,2.3260665,7.538695834974696e-61
RP11-365O16.6,2.4524214,6.989694281531797e-60
RP4-697P8.3,3.9609659,1.5869453797323502e-59
PXMP2,2.0219874,6.97403565401917e-59
SOX9,2.0317786,1.9407202486508367e-57
VSNL1,1.7786355,2.052285972964582e-57
CAPNS2,1.7832541,2.330896892982805e-57
YWHAQ,1.5241596,1.1868457884086784e-56
C10orf54,2.1586275,9.851682557436325e-56
SHISA2,2.199408,8.646707744823195e-55
RP11-277P12.20,2.398502,5.065937873689626e-54
TMSB4X,1.6871669,9.744852699727994e-54
DSP,1.7714461,2.0454644460898055e-53
PKP1,1.7308941,2.2626753726511777e-53
S100A16,1.945058,2.643191724438e-53
POMC,2.350989,6.749450169565032e-53
HSPB1,1.4426758,1.0743398688894944e-50
HOPX,1.9099464,2.7021830937906296e-50
CLDN1,1.7036791,5.318382435839593e-50
CALML3,2.2827895,5.879549075718399e-50
CASP14,2.2606268,7.136376301875646e-50
MARCKSL1,1.728811,7.570258125365209e-50
EZR,1.5363446,1.178432495848963e-49
HES4,1.9235824,1.4535270543643843e-49
TLE1,2.1568646,4.9695143576937315e-49
ROPN1,3.02487,6.583451550705099e-49
KCNK7,1.8213102,1.2947100283096464e-47
GJB2,1.979326,3.1361114283239093e-47
CREB5,2.19841,4.849749934653049e-47
MAFB,1.6866904,6.846746353687868e-47
SOSTDC1,1.6845459,1.5569523894869042e-46
CALD1,1.7783617,4.030787345367389e-46
DSC2,1.8550749,7.465635115437977e-44
GADD45G,1.8651408,2.063959741666227e-43
DYNLL1,1.3196024,7.079760371019742e-43
TMSB10,1.226596,1.1014957738453464e-42
FKBP1A,1.3491715,1.6818377794310822e-42
PERP,1.4059224,3.392377060770414e-42
KRT80,1.7568991,7.256260022850298e-40
BTC,2.878011,2.1652230129772945e-39
RASSF9,2.500006,3.448726640404145e-39
SPINT2,1.2093377,4.7046741458015004e-39
CTSV,2.343013,6.994528069505299e-39
CHMP4B,1.3972062,1.5129715125774837e-38
LHX2,1.6319706,6.700260573794557e-38
MYL6,1.0603217,2.309172303222841e-37
FBLIM1,2.0986178,6.656664461069382e-37
CA2,1.7298146,9.944431492338739e-37
RBP7,1.7281227,9.568279292888577e-36
LMCD1,1.4980205,1.0764664139062561e-35
HOXC13,1.4406509,6.116683946220959e-35
HSPA1A,1.4574788,7.909497292921059e-35
CDH1,1.5718602,8.560821591676385e-35
CRIP2,1.2665018,2.9454872770727884e-34
FXYD6,1.4730583,5.423599852652978e-34
ABRACL,1.3202864,9.316080175997692e-34
LGALS7B,1.6751827,1.0072609211489781e-33
CERS4,1.4224972,1.1250639617074362e-33
