names,logfoldchanges,pvals_adj
SAA1,4.342968,4.430218260201153e-91
SOD3,4.137509,1.5789992130224836e-73
RPS27,2.6554122,9.758447626636629e-57
RPS25,2.542067,4.60078816538878e-56
RPS28,2.898598,4.6939535821249485e-56
RPL10,2.5123143,1.124712527531781e-55
TRAC,3.1938984,7.364007143983437e-55
RPL41,2.8630087,1.149473550647541e-54
EEF1D,2.181504,2.1963784796121157e-54
RPS10,2.9576395,5.655185617836448e-54
RPS4X,2.1402142,1.742632603549014e-53
RPL36A,2.708236,2.094294960616964e-53
RPL34,1.7753841,2.7737356380733114e-53
RPL7,2.216413,5.026055086335124e-52
CEBPD,3.1128294,5.580892281906492e-52
RPL18A,2.4195132,7.284760749996369e-52
MIR205HG,2.6802657,1.5233187648705186e-51
RPSA,2.4381578,1.9837118614602597e-51
RPL26,2.176331,3.2763905186445184e-51
MT-ND3,2.1804783,1.2268353593670738e-50
RPS9,1.8622785,2.8581596549621024e-50
RPL37,2.224449,2.8581596549621024e-50
TNNT1,3.5820506,2.0884369827144082e-49
RPL36,2.3964722,2.861527493165404e-49
H1FX,2.7851086,4.177759397818687e-49
RPL31,1.9649112,5.171532641311545e-49
RPS2,2.137339,1.0428514487052612e-48
RPS15,1.8850951,1.7160663639294115e-48
RPL38,1.9783504,2.0712883655086014e-48
RPS3,2.1515625,4.0624405187975694e-48
RPL39,2.082562,4.0624405187975694e-48
RPS7,1.9492614,4.0624405187975694e-48
EEF2,1.7999575,4.0624405187975694e-48
RPS21,2.1308684,6.704688906795313e-48
RPL35A,1.6688824,1.5269159699353026e-47
RPL28,2.2709432,2.987825135801429e-47
CKB,2.9232204,3.047112348109112e-47
RPL23A,1.7700888,7.013311788991243e-47
RPL37A,2.0750313,1.4372647261939604e-46
RPS29,2.4723074,2.398743945311754e-46
RPL12,1.7519007,2.5843819218008753e-46
RPS24,1.6858476,5.113445004296251e-46
RPL21,2.1319993,6.2539781941756075e-46
RPL17,2.4997141,6.4440474926224104e-46
RPS3A,1.8792908,9.916800956703963e-46
IGFBP4,3.5344293,2.4275772039821388e-45
PTOV1,2.7936842,3.884582322638675e-45
RPL30,1.5531852,5.420777045016431e-44
RPS17,2.3031628,6.365630661953008e-44
GPX4,1.897645,6.95234073978793e-43
RPS12,1.8578874,6.971059375191462e-43
RPL35,1.862975,1.2736188252208379e-42
RPL32,1.6457924,3.3022937491385595e-42
EIF3E,1.7914495,7.176327486022511e-42
RPL5,1.4996625,3.2659524279285477e-41
RPS27A,1.3946003,2.8515151710730418e-40
ALDH3A1,2.8046587,3.535125628234803e-40
RPS23,1.6148074,5.220117931815148e-40
MT-ND2,1.6014777,5.835427462477872e-40
RPL4,1.5272952,6.788404345544409e-40
RACK1,1.4950783,6.89668392704552e-40
TP53AIP1,2.6212971,9.187291621163301e-40
RPL6,1.6122497,1.0784150690434971e-39
RPL11,1.4523692,1.260074410337904e-39
GPX2,2.9487665,1.488494047777097e-39
RPS16,1.5254112,3.234908566435618e-39
GLTSCR2,1.6233361,5.694289205173697e-39
RPL10A,1.4869399,1.0079874945978272e-38
UBA52,1.5227911,1.0496339772252572e-38
RPS6,1.4693091,2.409476323397864e-38
RPLP1,1.5102447,3.754739313454008e-38
RPL13,1.4421359,4.758224266350627e-38
RPS15A,1.546433,4.782324481726706e-38
CHST1,4.6893234,6.814280211713179e-38
GAS5,1.654844,9.939260609013433e-38
CHI3L1,3.1342838,2.552367787559343e-37
RAC1,1.9793913,4.26648153607334e-37
CTC-537E7.3,4.352248,2.092937407788218e-36
RPS11,1.5392381,3.52029400632512e-36
ELN,3.0251966,5.0980233048726204e-36
FAU,1.3009198,6.933271418462116e-36
RPS20,1.3768464,6.933271418462116e-36
RPL9,1.5752256,5.281712771821184e-35
RPS8,1.5606898,6.002448784752878e-35
RPL27A,1.4246644,1.530368647724066e-34
TPT1,1.3474313,1.5308703331059874e-34
RPL7A,1.6612377,1.662713208282606e-34
RPS13,1.3392205,2.8797310230042513e-34
RPL23,1.5089664,6.038742054208209e-34
COX7C,1.6431375,9.707479621206339e-34
MT-ATP6,1.6260355,9.76540408212545e-34
FAM132A,2.3347247,1.2013971357504954e-33
HTRA1,2.7972853,1.4031995882008575e-33
NACA,1.3770884,3.940363509727914e-33
TPGS1,2.6155074,1.3007469945573683e-32
CEBPB,2.2563717,1.3075406538938919e-32
PSMB9,2.3656967,1.6065372644398502e-32
SERPINH1,2.4058135,1.7485057511255697e-32
RPLP2,1.4195831,3.2071260049022015e-32
EEF1B2,1.7315735,3.5140486375359684e-32
