names,logfoldchanges,pvals_adj
DKK3,2.9042404,7.570293305755417e-101
DIO2,2.7438748,2.6865955563521672e-86
CXCL14,4.6620884,4.612105774297507e-83
FRZB,2.427517,4.5903308066063434e-73
MRGPRF,2.881189,9.102314559320578e-73
LMCD1,2.3155594,3.412296831415036e-65
SFRP1,2.327287,1.3851150862648742e-64
SBSPON,2.71267,1.859789832032985e-61
ITM2A,2.1029017,2.0285931039067226e-59
DST,2.1273475,5.830138097773669e-59
AKR1C3,2.743387,5.158444187303401e-57
RP11-1012E15.2,3.464186,1.5036290574978908e-56
COL1A2,2.3160882,4.181031911231121e-56
WIF1,2.3051898,1.8708792253729533e-55
BMP5,3.3559778,4.9551400888529866e-55
ADAMTSL4,2.3706152,7.03718315982279e-55
FGL2,2.0169208,6.0982005424070214e-52
KRT15,3.4011223,3.322668797232763e-51
SELM,1.8924329,7.418977762953822e-51
DACT1,2.897158,3.567727437313101e-50
ISM1,2.2903514,5.772532587793971e-50
CAV1,1.7912003,1.2064831967465167e-46
TNC,1.9857819,5.4135296792659526e-46
SPON2,2.40146,2.0113921896164864e-44
SLC43A3,1.8586906,6.630779873287312e-42
MOXD1,1.9813057,9.322882227377344e-42
SCRG1,1.8630013,2.0615239718315653e-41
PPP1R1B,2.8122344,7.718045769781737e-41
ANGPTL2,1.8202589,7.0014017749112425e-40
SLC35F3,2.3081346,1.5620276197325182e-39
EFEMP1,1.7186644,5.4837711140329294e-39
TMEM47,2.4257803,6.211187459267995e-39
PDPN,1.8735851,3.695826442781255e-38
FAM13A,1.9444284,3.2335716664486652e-37
PTRF,1.5016625,3.597578195097036e-37
RP11-813I20.2,4.0838437,2.858785849057494e-36
PAMR1,1.8010368,3.471919191634304e-36
PTGER2,2.701539,4.8215010809430904e-36
LAMB3,1.6133512,6.449124968031607e-36
COL17A1,1.5662123,1.666901012984208e-33
SDK2,2.2632625,5.4340753096912676e-33
MAP1B,1.651613,1.0077212342846666e-32
DPYSL3,2.3619964,4.184657020140142e-32
ENPP1,2.9012098,7.20787170693514e-32
SERPINE2,1.6601982,7.952196044145259e-32
TUBB2B,2.000335,8.026555854212577e-32
FGF14,2.868128,3.854163717636931e-30
LGALS1,1.7841345,6.380132518054886e-30
SERPINF1,1.5686002,1.8479796104448117e-29
EPHB6,1.3843118,1.513058045228516e-28
MAOB,2.0398247,2.655160146681843e-28
THBS1,1.7884313,4.525850365314109e-28
GPR180,1.8769549,5.938072048211872e-28
LGR6,2.843597,1.8038677310742987e-27
KRT8,1.4635266,3.873825670861788e-27
BOC,1.6522404,1.2550092464823809e-26
CD200,1.834473,1.261773660473139e-26
MITF,1.2081333,1.44676732142936e-26
LHX2,1.5490202,1.5572971756566172e-26
RP11-85O21.2,2.2383246,3.043157405532111e-26
TGFB2,2.0048528,1.0144788713665119e-25
APP,1.1916114,2.1713112206736145e-25
BDNF,2.3372226,2.38322291432636e-25
RAC3,1.4612987,2.597763381534584e-25
IL31RA,2.1291215,4.564430375830073e-25
BEX5,1.7338424,6.477471505515906e-24
ZNF503,1.5013977,8.776808654180883e-24
LAG3,2.5738204,9.02466411541527e-24
BAALC,1.8602113,1.5441674145162483e-23
RP11-490M8.1,1.4913187,2.9393382006296947e-23
HMGCLL1,3.3885994,3.134392387499535e-23
CTSF,1.3108336,4.7855930710757885e-23
LTBP1,1.9526159,4.989710540787442e-23
DAPK2,1.4707309,5.580895013598917e-23
TNK1,1.9374157,5.936876029336667e-23
NFIB,1.264941,6.045057880577947e-23
ART3,1.751899,6.828374339445495e-23
PHACTR1,1.6963658,9.044091474850789e-23
REM1,2.1946762,1.0707952982998445e-22
DCN,1.5596608,2.0881855431172781e-22
FST,1.6065725,4.271514429418384e-22
FBLN1,1.7421199,5.863687522935666e-22
FAM171B,2.0613291,6.372580411125844e-22
ADGRL3,1.3843129,6.808131129381346e-22
MATN2,1.4780464,1.0026386750370007e-21
C2orf40,1.5409833,1.2245584921551973e-21
DAP,1.3131572,1.4587666277020465e-21
BCAM,1.33874,1.7477089529054923e-21
GALNT18,1.4492211,2.0834933468819482e-21
S100A6,1.1128637,3.918827428638077e-21
ARSJ,1.9151022,3.918827428638077e-21
LRRC3B,3.484696,4.656726730954491e-21
AC009229.5,2.8669703,4.656726730954491e-21
CHST2,1.2462752,1.0662081747081489e-20
IFITM3,1.1425799,1.1685629500681725e-20
S100A4,1.1063967,1.2190918604059384e-20
SYNPO2,2.7092872,2.6913501816005566e-20
ANOS1,1.8909918,2.836657705789239e-20
NET1,1.29552,3.964446089065284e-20
LAMA3,1.7942269,8.114884202600094e-20
