names,logfoldchanges,pvals_adj
SHF,5.005336,1.2621723550614788e-81
FETUB,8.588474,3.521826553616692e-69
GSDMA,5.933629,9.805231118604824e-64
ATP6V0A4,6.158364,9.400899678788431e-61
TMPRSS11E,4.6785808,2.062487724799986e-54
CALB2,5.111526,9.177132790744632e-54
CST6,8.438292,1.9245835748579033e-53
CA6,5.5860734,2.6026288940200256e-51
CD24,4.5370426,1.8850545155106105e-50
LCE1B,9.03757,8.47902290146986e-50
RARRES1,5.257548,1.3979398979348279e-49
UNC5B,4.0958314,8.422586911531835e-47
RP11-367F23.2,5.598938,2.1219151177611566e-45
CLDN4,3.7659266,2.9130017325510795e-45
PYDC1,4.202562,1.5103047426460002e-42
LCE1C,3.910055,5.21415385674519e-41
ENDOU,4.535879,1.8662443208761062e-40
SLC6A14,6.2214026,1.8662443208761062e-40
PLA2G16,3.190082,2.539652945020029e-40
UNC93A,5.271026,4.379336318519317e-38
GATA6,5.5497856,4.442577649121299e-38
GGT6,3.4233031,1.7871433505571615e-37
CIDEA,3.6184955,2.0351669273673448e-36
BBOX1,3.308494,1.027799232842578e-35
ADAMTS15,3.9668243,5.309460410233821e-34
GJB4,4.2870755,5.479123191127176e-34
KLK7,4.6806107,9.158942096625403e-34
KRT80,3.0454142,1.332166161628493e-33
IFFO2,3.36887,1.6342062189796462e-33
HK2,4.336205,1.495466095748385e-32
SEMA6A,2.860348,2.6040365074898526e-32
CALML5,5.915484,4.349507035602047e-32
FAM26E,5.061531,8.406839319095361e-32
CARD18,3.5724385,2.257941892975447e-31
HSD17B2,3.3421483,3.5671981550602715e-31
EPHX3,3.0673223,5.3875859744896275e-31
ATP6V1C2,6.48462,7.031075315422614e-31
SCNN1B,3.51376,1.2447813409447138e-30
LY6G6C,2.8169372,2.7445336608735482e-30
FAM3D,4.881037,1.9971982648376263e-29
SUSD2,3.2860935,2.604322825308697e-28
KRT6B,5.228342,5.096614109973458e-28
CDKN2B,2.7910922,1.61350082515157e-27
KANK1,3.0889401,1.8368796283192863e-27
SBSN,4.3874817,2.0458690529900495e-27
RP11-831A10.1,3.359463,3.241069762009062e-27
CLIC3,2.965609,1.6778767099562425e-26
KRT6A,4.7984114,3.0320345703595666e-26
GJB5,2.7785637,2.110967564900808e-25
SPRR1A,3.9045856,2.703159580119801e-25
PHLDA2,2.8366718,5.439897653443327e-25
CALML3,3.675028,7.329044720308074e-25
CNKSR3,2.906715,1.0554226303583551e-24
DSG1,2.823677,2.2690822147351045e-24
SDCBP2,2.4825642,3.1443417850292137e-24
TP53INP2,3.927794,6.798772450217356e-24
IL34,2.6543505,8.05918267461028e-24
SLC15A1,3.6374736,1.020245965791991e-23
PCAT19,3.9096787,1.0969978695707844e-23
ROPN1,3.3888679,3.3954916643184646e-23
ABCA12,2.9802876,4.7855642864207997e-23
MARK2,2.426141,5.606076620513003e-23
SMCO4,2.4894893,1.0123769712256421e-22
PSAPL1,7.705434,1.1968433507310233e-22
TMEM40,2.6945236,1.2310390514510364e-22
SULT2B1,2.6158001,1.419037812946641e-22
RDH12,2.3524837,1.5890801922896247e-22
NDRG2,2.561336,2.3339144676502565e-22
CASP14,2.4269464,3.975677724617044e-22
SPINK5,3.6595058,8.588433269664502e-22
SLCO2B1,3.0747027,1.0426827157337262e-21
ALDH3B2,2.4748147,1.0885718559085273e-21
TRIL,3.623249,1.215114810912135e-21
TMEM45A,3.5098512,1.6304533402884595e-21
ENDOG,2.5548198,1.9454569125356312e-21
KLK1,2.4226844,1.9454569125356312e-21
METRNL,3.572253,4.797040212834942e-21
DACH1,2.4682941,6.330148086351604e-21
SLC7A4,3.5195174,7.146267378661059e-21
PLEKHA7,4.2244983,8.557724588592775e-21
KRT6C,3.1312573,1.1204325360322327e-20
PRSS22,2.3671417,1.3533821741161033e-20
ABLIM1,2.2644792,1.4210786628831016e-20
GJB3,2.573093,1.4628504247511386e-20
TACSTD2,2.6175532,2.3433268394390553e-20
SPTSSB,2.5578604,2.6088359468306652e-20
PRSS3,2.257835,2.6269761238612372e-20
CDKN1A,2.4756427,4.4733304838614314e-20
TPM1,2.612792,5.424272158295273e-20
GATM,2.29949,9.65708668196396e-20
RP11-119D9.1,3.907165,1.501600354035924e-19
CYB5R2,2.626593,1.588827406341157e-19
RP11-77P16.4,3.3945339,1.9914935653750944e-19
CYSRT1,3.4789083,2.6637524836689035e-19
ZNF750,2.398002,4.823673696890801e-19
CRABP2,2.8813906,4.963320927429902e-19
KRT16,4.6848965,5.212512359520694e-19
HEBP2,2.300483,7.648920028911494e-19
LRAT,4.212205,7.754431147212784e-19
CTSV,3.2261677,7.848361528290221e-19
