names,logfoldchanges,pvals_adj
KRT1,8.292805,0.0
NMU,4.6882286,8.373264169953192e-305
CHP2,4.4730544,5.909801498720102e-283
MAL2,4.3147683,1.2368317082800762e-274
LY6D,6.236954,1.230546476146449e-272
KRTDAP,5.9594135,1.6905918962862624e-250
FGFBP1,4.105537,2.0208428488148266e-243
ALDH1A1,4.0592914,1.6694308740796853e-238
EHF,3.6812975,5.528034379454594e-235
AKR1B10,4.166756,9.138424561965546e-233
SERPINB4,4.8276615,1.7032343081397696e-223
DEFB1,3.6104476,2.241887388161845e-202
AADACL2,4.8359427,3.846937556206059e-202
S100A7,5.592407,2.360573377400713e-199
CA12,3.3548424,7.586103612509115e-194
GSDMC,4.156945,1.9376180470891395e-191
MFSD2A,3.5410485,3.6468739186066637e-186
RHOV,3.451893,2.609766013762852e-184
NRARP,3.5800858,1.711192213385555e-181
KRT10,5.373446,2.60917085384181e-181
TMEM154,3.1965418,1.2651435818341632e-180
CRABP2,4.254181,6.379309856332499e-175
PMAIP1,3.3328218,8.034307339898591e-175
DSG1,3.199929,1.3325770924116824e-173
GLTP,3.2582026,7.004631667266651e-172
AQP3,3.8199484,3.2081602104644675e-169
S100A8,5.2586913,8.485470768278399e-169
LGALS7,3.221913,4.72697745363844e-168
DMKN,4.999577,1.2110667009817802e-167
BBC3,3.410083,1.9460557898621857e-167
CENPP,3.5871112,6.176679640781007e-165
S100A9,5.425435,1.3471431379529237e-164
SLC2A1,3.1425898,6.02628262982439e-163
PLPP2,2.911276,1.3074635103043995e-160
CSTA,3.5901978,4.032547264090539e-159
STX11,3.645671,1.6963761217404286e-154
NEAT1,3.193789,3.982441332620245e-154
HLA-B,2.838432,2.1585469437247652e-153
SERPINB3,4.8277993,4.584590724752516e-151
GSTA3,3.7822106,3.5003450832865715e-149
WNT16,3.407124,3.8054941393467262e-149
PDZK1IP1,2.8951812,4.9713596134397595e-149
SPINK5,3.3269308,6.6613002227024805e-149
TNFRSF19,2.8490226,2.102111898824399e-145
NFKBIA,2.1768668,1.0570652240394252e-144
PERP,2.2626674,1.6834405098912046e-143
LYPD3,3.4417357,4.834608065665309e-143
KLF4,2.3149788,7.551964632744352e-143
TMEM45A,3.3417754,6.0073033233113345e-142
TIPARP,2.9189374,1.458381314282116e-140
IL1RN,2.8699696,1.800670210298382e-139
RORA,3.3905818,2.071950892312556e-139
IMPA2,2.8539705,4.5352862224269854e-139
ETS2,2.8186407,1.6244684496498154e-138
TMEM40,3.1256053,7.722267131121173e-138
MT-CYB,1.7048122,9.224313891500044e-138
TPPP3,3.4121075,1.1322151313645117e-137
TXN,2.4177437,1.4126471448549305e-135
PGLYRP3,3.5268188,1.774477788755234e-133
ALDH2,2.789192,3.573204420884277e-133
PPP1R15A,1.8897558,1.7380362691560246e-132
IGFL3,3.9361243,3.3153061008481914e-131
DBI,3.113703,1.1637399297659543e-130
DUSP1,2.088282,1.7703815746548725e-130
HBEGF,2.9593232,3.4892352050867946e-130
HCAR2,2.8464413,1.8602712041601258e-129
CERS3,2.932694,1.8467206144956605e-128
DEGS1,2.4092593,9.067402305226984e-128
MT-ND5,2.0531285,2.0123064019033037e-127
EPHX3,2.8026736,3.2456276814938035e-127
PLA2G4F,3.0445457,1.2332068774763327e-126
DSC3,2.3463278,1.2716830191605613e-126
PHLDA2,3.0220766,2.9831695279164305e-125
EMP2,2.3444302,5.063894074164431e-124
LDHA,2.0212855,1.1698321057088163e-123
SLC25A5,2.2685447,2.6435624391475996e-123
RHCG,3.7963712,4.3114260769590454e-123
CHCHD10,2.5245528,1.1656415067714124e-122
NDRG4,4.1548357,4.0903942476301394e-122
KLF3,2.8791928,5.150762765297554e-122
ZC3H12A,2.5161161,8.832712062254587e-122
ANKRD22,2.7085438,3.2526694825676844e-121
MT-CO3,1.7478844,3.419717091257407e-121
MT-CO1,1.8829408,1.6803237905364942e-120
GBP6,4.957985,7.502629402936278e-119
MT-RNR2,1.6405525,2.5503931043465336e-117
ZBTB43,2.7620509,8.340423418811882e-117
PTMA,1.3605763,1.8083179604357445e-116
KCNK7,2.635392,1.8083179604357445e-116
ATP1B3,2.0080485,4.988337855160813e-116
PRSS3,3.3758698,1.168863756566415e-115
CLCA2,2.4808164,1.2590083179994645e-115
IER2,1.8794663,3.442405984153705e-115
LAD1,2.3519135,1.6443643564034344e-114
ZBED2,3.4540534,2.4691175266619522e-114
MT-ND4,1.5776494,1.0529729864262753e-113
CYB5A,2.430201,1.1389459528129505e-113
RPS18,1.6279114,1.504763271325184e-113
NFKBIZ,2.3091943,6.676096634222044e-113
NDUFA4L2,3.299839,9.569023897634615e-113
