names,logfoldchanges,pvals_adj
IL1R2,4.415794,1.0192231093348065e-85
TGFBI,3.8335035,1.2662470753257227e-73
POSTN,4.1925726,3.2033311607332027e-66
ABI3BP,3.7698905,1.5232559763717212e-65
CYR61,3.2103786,3.5557990867580553e-50
EPCAM,3.1942656,1.3287706484702996e-33
SULT1E1,3.4069858,5.687717565196396e-33
RP5-1050E16.2,4.94903,1.2771863736400269e-32
CCNL1,1.8705549,1.9676237364972697e-24
JUNB,1.6016725,2.685582181956569e-24
SAT1,2.1369143,4.2350148500552316e-24
MPPED1,4.529991,8.162370365981855e-24
SOCS3,2.2111223,5.2117649980406765e-23
IL20,2.7385964,7.878379750068713e-23
TSPAN12,4.3282413,1.1557746985361285e-22
CCL2,2.5635703,1.9069165088950948e-21
ADRB2,2.4886904,3.286663513490291e-21
NR4A1,1.8532704,5.016134709064175e-21
TXNIP,1.7463979,1.5363140507924194e-19
ALDH1A1,2.0001664,1.4303013138288345e-18
CITED2,1.7644365,5.9483034464412664e-18
IGFBP5,2.838816,1.8222564292910552e-17
MOXD1,1.9025412,9.944007585162702e-17
WNT16,2.2122874,1.1492177283612054e-16
ZFP36L2,1.5029585,1.4589156532208945e-16
ETS2,1.7737894,2.8831426953884026e-16
RP6-24A23.3,4.167758,5.736769350522424e-16
ZC3H12A,1.7107592,2.1450636852606632e-15
ENPP1,3.5765343,1.0126146114695994e-14
KRT17,2.5430088,1.2905152804509419e-13
TMPRSS6,2.2287693,1.33594270330753e-13
TOX,3.694553,1.3921452500512228e-13
KLF10,1.4306929,1.6587418751856622e-13
DDIT3,1.6310164,1.8526566471913454e-13
GADD45G,1.6124438,2.7849996008448625e-13
GLI1,3.4266434,5.420326504166261e-13
KREMEN2,2.8863103,6.992971158565383e-13
TGIF1,1.442849,1.3931988680530534e-12
ZNF331,1.8397254,2.9239220148292383e-12
NR4A2,1.5930951,5.989715820729664e-12
DNAJA1,1.1616083,6.390382177972352e-12
PMAIP1,1.3929465,6.742027155639875e-12
LAMB4,3.4512467,7.779315779549929e-12
TSC22D1,1.4216808,8.705309309997177e-12
PSD3,1.9854182,1.435684377730207e-11
KRT15,2.5511615,1.7160539702013274e-11
FIBIN,3.2081354,1.921544023339688e-11
PABPC1,1.1841022,1.9738189238471246e-11
SLC2A3,1.8950789,2.365161992338532e-11
EIF1,0.6507407,2.5063265998118145e-11
IER2,1.1041294,3.51372717485794e-11
ARL4A,1.3002006,3.9928794287987596e-11
TSPYL2,1.8819277,3.9928794287987596e-11
AREG,1.8572581,4.791017460802928e-11
LINC01549,3.7631161,7.444264397109997e-11
HLA-B,1.350121,8.203268987119999e-11
C1S,1.7740282,9.834597365248557e-11
PNRC1,0.9922611,1.4260374228680648e-10
CSRNP1,1.286605,1.5003954366069796e-10
FAM41C,2.8046482,1.8398050461061444e-10
DACT1,2.260456,1.8745575216646265e-10
PLK2,1.3436286,2.539974035575351e-10
HEXIM1,1.2864969,5.255786921718911e-10
SERTAD1,1.2088245,6.036798682095031e-10
C1R,1.6368906,1.0614802881014377e-09
DDX5,0.78937346,1.635453732035288e-09
GADD45B,1.200382,2.0151788148120036e-09
DLL1,2.066077,2.349115495551374e-09
XAF1,2.4039536,3.471121031318254e-09
LCN2,1.7008533,9.281230496399921e-09
EGR1,1.1353544,9.865801747255508e-09
EFNA1,1.0908307,1.5316938363758178e-08
HNRNPDL,0.8536765,1.8342207022174425e-08
EDN2,2.1575239,2.1974432020678643e-08
CYP2W1,3.083634,2.610763709494857e-08
RHOB,1.0026407,3.316698946257017e-08
DDAH1,2.4432905,4.145477451148874e-08
EGOT,2.1837728,4.748684046418335e-08
NCOA7,1.3971628,5.2986806613138213e-08
NRXN3,2.9227908,8.021304473591222e-08
BTG2,1.0313308,9.084025724177398e-08
SOX13,3.3302746,9.623488186593152e-08
SMAD1,1.2341076,1.0916667467165873e-07
PRSS22,1.8676423,1.2252187528460817e-07
BGN,1.2678187,1.3141111228675307e-07
NFKBIA,0.9589054,1.4730681200833265e-07
KRT13,2.7822134,1.5316342021457856e-07
ATF3,1.1327614,1.846273762035927e-07
VIT,2.5571327,3.085966901913224e-07
GULP1,1.4300404,4.4787780624105054e-07
ADAMTS4,2.2785063,4.526860610028439e-07
HERPUD1,0.9869655,6.121181762622346e-07
CXCL2,1.7070007,6.121181762622346e-07
HSPA2,0.9920551,6.86774938066191e-07
ANXA1,0.981372,8.115743642983737e-07
TSPAN7,1.5212059,8.217455138466314e-07
PDGFC,2.4955883,8.433203345671344e-07
EDNRA,2.468075,9.13417202901613e-07
RP11-372K14.2,2.367134,9.13472846067805e-07
MAFB,1.0235064,1.393054998603217e-06
