names,logfoldchanges,pvals_adj
CHI3L2,4.1683693,8.195653106194891e-147
HSD17B2,4.3396535,7.166355541515522e-145
PTN,4.1292815,1.4194140233667442e-140
IGFL2,4.9541574,1.3825928591238676e-131
KRT6A,5.6741376,2.9162296635309854e-130
CYB5R2,3.5241098,5.104014174257161e-124
CHCHD10,3.2448664,2.491547578109058e-106
FAM132A,3.2347207,7.815307737883906e-102
PDZK1IP1,3.4168055,9.395397608793796e-99
TMEM45A,3.6942153,7.186161067014849e-95
CIDEA,3.1148918,9.194960850652124e-94
FGFBP1,3.007782,1.351622294968233e-93
SBSN,3.92282,2.2879433382627977e-92
CSTB,3.3010268,5.274228654021051e-90
KRT6B,4.6959314,7.245198704997439e-90
DEFB1,2.864586,1.526725507993249e-85
GJB3,2.711252,2.143434572958104e-81
CYP27A1,2.5761418,4.769922192414564e-80
GATA6,4.1801753,1.934089682704382e-79
ATP5G3,2.0170436,1.934089682704382e-79
TPM1,2.6264281,2.93190371718735e-77
EHF,2.5324838,5.411822536904716e-74
COX5B,1.9800951,1.0653917100429355e-73
PDXK,2.6261137,1.272970205088052e-72
ENO1,2.1350617,1.6850266438213954e-71
TPI1,2.0464275,5.813934660126229e-71
KRT79,5.2702055,1.2009124718233408e-70
SLC25A5,2.2125936,1.0593164949668792e-69
CNKSR3,2.874018,1.7582637083845088e-69
EFHD2,2.5984461,3.561924025783748e-69
IMPA2,2.5307684,4.5068964647919886e-69
ADAMTS15,3.6693635,1.897274997380161e-68
SQRDL,2.569332,1.9827729563519876e-68
AHNAK2,2.511971,2.1077799228148728e-68
COX4I1,1.7932146,2.2108164500435316e-68
GMDS,2.6036854,4.6177918774404834e-68
COX7B,2.0104666,1.3955434346661198e-67
EIF3K,1.7118458,1.4161110330609091e-67
SPINK5,3.6193552,1.6248079514912683e-67
ATP5B,1.861397,4.0943994334858925e-67
CYC1,1.9971645,8.61621067181265e-67
S100A11,2.5409167,1.869223735059929e-66
LGALS7,2.5022495,8.679398504090157e-66
EPHX3,2.5244815,1.004353969467589e-65
SH3BGRL3,2.3478777,1.4912271725159381e-65
COX8A,1.8674189,1.6356590208522975e-65
S100A16,2.4498034,4.151470565944077e-65
SDR16C5,2.3684115,1.4448758874477541e-64
KLK7,3.7109382,5.418575233191975e-64
S100A9,4.115224,7.771317780103495e-64
MRPL12,2.09687,1.0072757586277076e-63
DSG1,2.4072573,1.8105004061756687e-63
AGR2,4.3593626,2.500797472696173e-63
CLDN1,2.43256,1.236105879026824e-62
KLK11,3.185149,4.4358274987284234e-62
MARCKS,2.1384952,4.9583613957793666e-62
SGPP2,2.9400127,7.557967445924172e-62
UQCRFS1,1.8860213,2.868249634482913e-61
RBP1,2.157378,3.0057428634949092e-61
UQCRH,1.635588,3.189949653485365e-61
KLK5,2.797859,5.0402108739029376e-61
MMP7,5.940232,3.4867082440549965e-60
TMSB10,1.6994969,3.5181116646559915e-60
COX7A2,1.6218239,4.711145606822935e-60
DMKN,3.425724,2.275796462733295e-59
GAPDH,1.6857047,6.654500324611698e-59
ANXA3,2.6428866,8.250546836223156e-59
MPC2,1.805206,1.1885894562104432e-58
SUB1,1.9697168,1.2869397427583705e-58
PPIF,2.275129,2.5343275389522026e-58
TACSTD2,2.5624535,4.8316177968909464e-58
C9orf16,2.1216583,6.374437425315759e-58
GJB2,2.8318937,6.55482505900937e-58
LCN2,3.6881542,6.652466959464318e-58
EMP2,2.0923774,8.51864626075665e-58
PGK1,1.9086722,8.51864626075665e-58
S100A8,3.9173722,1.1459321857471791e-57
MYL12B,1.3810909,1.2281728097448329e-57
MRPL41,1.9297167,5.898199633952896e-57
LY6D,3.1106145,1.4150332522714058e-56
CYCS,1.8119589,2.0504028370148837e-56
NEAT1,2.3982637,2.5243181906656043e-56
COX6B1,1.6456798,5.130250289498262e-56
ATP5G1,1.8405129,5.24040847846019e-56
DSC3,2.006653,1.4246953531804304e-55
UQCR10,1.9146254,1.5089400372197588e-55
CARD18,2.527982,2.128169305683672e-55
KLK10,3.073184,2.6779204326866036e-55
SPRR1B,3.7386892,3.7044842879599474e-55
LDHA,1.76179,4.361107926314725e-55
GSTP1,1.8520907,5.010287215119094e-55
MYL6,1.5085986,6.162865657515149e-55
MRPL4,1.9578816,7.425026407049265e-55
PPP1R14B,2.0293672,1.0453285380176457e-54
ACTB,1.4031291,2.884043379075999e-54
PKP1,2.1701365,4.2238773920520346e-54
KRT17,3.9193704,7.047344651386137e-54
ATP5A1,1.5747497,8.163252431857891e-54
KLK1,2.3858507,2.121881525678427e-53
MT-ND4,1.4106079,3.4840826156600695e-53
