names,logfoldchanges,pvals_adj
AIF1,11.369691,0.0
RNASE6,13.311154,0.0
LY86,10.77333,0.0
TYROBP,11.761844,0.0
FCER1A,12.743913,0.0
CSF1R,12.572511,0.0
HLA-DQA2,10.474716,0.0
CD1E,13.7942095,0.0
HLA-DQA1,9.615878,0.0
MNDA,10.53799,0.0
LST1,9.926586,0.0
HLA-DMB,9.828123,0.0
HCK,9.6958475,0.0
CD86,12.406586,0.0
SPI1,9.401174,0.0
HLA-DQB2,10.878537,0.0
PLEK,11.254371,0.0
IGSF6,10.30945,0.0
ALOX5,10.887445,0.0
HLA-DQB1,9.714169,0.0
FCGBP,10.925682,0.0
LYZ,10.885907,0.0
CD1A,11.505956,0.0
CD1C,11.27777,0.0
HPGDS,10.410176,0.0
HCLS1,7.393746,0.0
CD300A,9.835222,0.0
IRF8,10.797685,0.0
EVI2B,7.275587,0.0
GPR183,8.864084,0.0
CLEC10A,11.053466,0.0
GLIPR1,7.6938124,5.4578259376512477e-306
LAT2,9.36353,1.22976306386414e-303
CD207,10.634988,8.74710004043618e-298
CCL3L3,10.651064,9.33214104405917e-298
IL1B,10.087616,3.103446177482538e-297
ITGB2,7.3710885,7.218712065142617e-286
FCGR2B,8.92528,6.671744338313719e-285
FCER1G,11.596194,2.316061699849991e-281
MIR155HG,8.027193,2.6217629360012454e-281
CPVL,8.708646,3.47699848712039e-279
CCL4L2,10.274485,6.828683832152412e-279
SLC18A2,9.699247,5.372238572591946e-271
RGS1,9.403982,4.458176176146495e-264
PILRA,9.279713,3.258686560651773e-260
LCP1,7.1432495,3.5965162302481714e-257
HAVCR2,10.211273,1.14067781952844e-253
LSP1,6.948537,3.7406119210823473e-253
MS4A6A,8.107267,4.272049087933326e-251
C1QC,9.572275,1.2714321907394898e-249
CCL3,9.84919,5.553476597190674e-249
LAPTM5,7.7270374,8.586919971173139e-249
HLA-DRB1,8.776635,7.384467064506006e-247
C1QB,10.164462,1.1961958775862962e-245
LGALS9,7.406536,1.2811069776924696e-244
CCR7,7.932537,1.369934458959394e-236
CYTIP,6.519498,7.207699629403593e-233
CCL4,8.856866,1.5961944475377172e-231
MMP9,8.050913,7.193782553969401e-231
C15orf48,7.7381744,1.831395084707844e-222
EVI2A,6.7955575,1.8615477173106493e-219
CD53,6.488688,1.8299515389540204e-214
CORO1A,6.3260384,1.8905024656362838e-210
CD4,7.3861413,1.1904192364722024e-205
BCL2A1,7.5779047,7.089898683733737e-205
HLA-DPA1,10.18333,1.7515227148468814e-204
C1orf162,6.715905,5.147681707996299e-202
HLA-DMA,8.186115,2.78294421718313e-199
CD37,6.0415483,1.230135746386568e-194
LYN,7.098688,5.844882188326045e-191
CTSS,7.439645,6.783831937086099e-190
ALOX5AP,6.2151027,9.2952237707079e-190
TNFSF13B,7.9137516,1.694321581976287e-189
RASSF4,7.1108875,2.0728015212917926e-184
C1QA,8.889963,2.1762710110512264e-176
CST7,6.7475286,1.4027593291604608e-173
SIGLEC10,7.9437346,8.328093608094596e-171
IL4I1,7.6305547,2.3852192804380555e-162
HLA-DRA,11.023043,9.161536100257419e-162
ABI3,6.423624,1.4339857817623533e-161
NCF2,6.408517,1.5443604509176585e-156
DOK2,6.7661786,2.190843333081263e-152
SRGN,7.1605315,1.0123094478391935e-150
SUSD3,6.9155283,1.1307109583420569e-150
CLEC7A,6.0236645,1.3370020087186968e-148
GPAT3,6.817944,1.071431860080486e-142
LCP2,6.606019,1.1022528085841072e-139
HLA-DPB1,10.134763,1.1815540246248422e-137
PTPRC,5.664379,5.702681912297942e-136
ENTPD1,6.2465835,5.091243458487937e-133
RHOF,6.047009,1.778390815351544e-132
ARHGAP9,6.552886,1.1948730705634834e-130
HCST,5.267226,2.5010043428979124e-126
MIR142,7.1362867,5.458313880751618e-124
SLA,5.6571374,3.1763961620666804e-121
GPSM3,5.465134,2.1987523301639253e-120
SERPINA1,6.7533298,7.839218489883592e-120
RP11-750H9.5,7.385909,5.919924995480847e-119
MYO1G,5.7328877,6.355859634571151e-118
BST2,5.250637,5.2320530046675284e-117
