names,logfoldchanges,pvals_adj
DIO2,3.6746483,2.1828576513708956e-265
WIF1,3.49545,1.7236026777459532e-215
CXCL14,5.1383843,4.9739775529826365e-204
SFRP1,3.049889,6.762604237022417e-197
LMCD1,2.76018,4.023156294026971e-177
SCRG1,2.8669734,4.58208855577542e-173
FGL2,2.7620358,1.4708852713322204e-169
DKK3,2.60618,4.818088115905422e-160
KRT15,4.208373,3.403847563258787e-156
SELM,2.3773615,2.4081159775566684e-152
NPPC,3.127272,4.363975372698334e-148
ITM2A,2.3353922,4.472400778076989e-148
EFEMP1,2.3465383,2.945873778947337e-135
FRZB,2.3061492,1.1355026772092522e-130
SOCS3,2.4561322,2.345647988988361e-128
ZFP36,2.000076,7.964662398377527e-124
DCN,2.522593,2.3257820752838695e-121
IGFBP7,2.4093897,1.550387910343813e-112
MITF,1.865848,4.866436407792611e-109
ART3,2.7715158,9.77273489220341e-108
TUBB2B,2.6155784,1.425700456378487e-107
DST,2.0904665,4.2647898304199124e-107
ATF3,1.9770781,2.2255087500255646e-106
SLC43A3,2.166771,3.6918594200440493e-106
CAV1,1.9248961,4.753064025370081e-105
MAP1B,2.163108,4.812780367535206e-101
PAMR1,2.2070801,6.081380052784768e-101
THBS1,2.496838,1.2941260239402963e-99
FOSB,1.6428246,2.003904866882287e-99
KRT8,2.0746167,9.139422755588905e-98
TGFB2,2.7820127,1.2186869558065375e-97
BEX5,2.5432315,1.614092123850396e-95
MAFF,2.1014934,1.9001564062813556e-95
SERPINF1,2.194503,5.097865542453893e-94
NEDD9,2.5691557,4.49484433031282e-93
FBXO2,1.9226432,2.644117386084438e-91
TNC,2.074368,2.1685273632014157e-90
LHX2,1.9306865,1.5594882414292147e-88
KRT19,2.7603261,4.210428674262653e-85
TMEM47,2.7186267,9.579661890910248e-85
BOC,2.0771914,8.868069643015739e-83
RAC3,2.0084405,1.2861116293542652e-82
SLC35F3,2.5504677,7.274718104520464e-82
KLF10,1.6712998,1.5767350832015673e-80
ISM1,2.0512908,2.017317612504882e-80
MRGPRF,2.645885,2.653331146018366e-80
IL20,2.509338,3.4525884331252384e-77
SDK2,2.889515,7.71424573375672e-77
IL31RA,2.7249517,1.7808988028791948e-75
RP11-490M8.1,1.9128969,1.339219729181746e-72
EMP3,1.5395936,2.236317500224504e-71
MAOB,2.478803,3.0180388485128803e-71
SOSTDC1,1.6584536,7.376506010018283e-70
JUNB,1.2805927,1.1865576232522734e-68
COL17A1,1.5453073,4.690804369282915e-66
FBLN2,2.1083314,2.333488832067409e-64
PHLDA1,1.7689531,1.1721721187303765e-63
SPON2,2.326252,5.373868257266341e-63
ADAMTSL4,2.1114264,7.191897935161394e-62
LAMB3,1.5094587,1.1506191483120371e-61
CAV2,1.3809682,1.8001378904766604e-60
FOS,1.1043854,1.054803918572837e-59
GLUL,1.2947286,1.1980736029563992e-59
C2orf40,1.9760892,3.815996464171315e-59
BGN,1.565788,3.96228215230633e-59
APP,1.2667619,1.2373807692469199e-58
ARL4D,1.51318,4.8605473645281686e-58
SERPINE2,1.7407285,8.021152082588054e-58
FAM171B,2.5594084,1.7722813486611801e-57
PTRF,1.3257962,3.9616813158308564e-57
LGALS1,1.7936108,4.837816873426182e-57
CTSF,1.4800316,3.099601440292916e-56
FAM13A,1.7122518,5.846813346446506e-56
GADD45B,1.2991571,8.155256507226886e-54
NET1,1.4096298,9.213781561756088e-54
CD200,2.0086858,3.510997520799671e-52
BTG2,1.2728215,8.327655939098959e-52
GAS1,1.486968,4.95033230082886e-51
COL9A3,2.0607643,1.8826876768562958e-49
MATN2,1.5671978,2.4208130657335044e-49
EFNA5,1.547081,3.5001867303795986e-48
ZBTB16,2.0352457,6.123588567628787e-48
COL1A2,1.6335459,3.546789639165165e-47
LAPTM4A,0.8146956,1.9386262080177414e-46
DUSP1,1.1441743,5.780349010000215e-46
ANOS1,2.2369473,1.8295508221577235e-45
LUM,1.9928973,2.2909604536864615e-45
FHL2,1.2602609,7.450819782310832e-45
SLC40A1,1.447132,1.1771942370392643e-44
NFIB,1.1725587,2.1582802762214763e-44
CNN1,2.691292,2.277567280065144e-44
SPOCK1,3.4456775,3.401413763023063e-44
JUN,1.0381995,1.4070482398554584e-43
TCEAL7,2.1741078,3.610978373649274e-43
S100A6,1.1204726,9.345264743139529e-43
RP11-85O21.2,2.1804135,2.5952436946688393e-42
CHST2,1.2518348,7.150129600338406e-42
NDN,1.5243236,9.93656007134098e-42
ANGPTL2,1.4246709,1.1198558021936953e-41
RBPJ,1.2036822,5.300019605564064e-41
