names,logfoldchanges,pvals_adj
STEAP1B,4.5741744,1.7846725968589054e-20
WNT11,4.62909,4.797456100457528e-18
KRTDAP,2.0317938,6.808484090057931e-13
DIRAS3,3.2693725,2.1454497844525345e-11
LGALS7B,1.4987386,1.193967227035362e-10
PAQR5,2.9822266,2.7995081445351922e-09
KRT75,3.9994576,4.119754550564103e-09
KRT1,2.0282567,4.595656824043357e-09
ERP27,3.4458835,5.945532139995313e-09
DMKN,1.5823847,1.3855141843144863e-08
S100A8,1.6385053,1.9934920969530813e-08
IVL,2.4239514,6.087661850791829e-08
PTGES,3.0953805,7.064619363473026e-08
SLPI,1.9261872,2.1839770280470457e-07
FABP5,1.3463541,1.4681269595798235e-06
LY6D,1.1661636,1.9648475547852696e-06
SMOC1,2.6582315,3.6590324778310054e-06
RP11-356I2.4,2.6639366,1.2592488108776488e-05
SBSN,1.0592848,1.3366869591192564e-05
S100A9,1.2814034,5.145053432027193e-05
KRT81,3.6655486,5.4980152745867894e-05
KRT6B,1.1348314,0.00019354363652184179
SPRR1B,1.2226142,0.000202369677108687
TMEM125,2.0635216,0.0006190038830105065
MUCL1,2.680621,0.000776023575586159
S100A11,0.6201568,0.000906633876744871
KRT10,1.0573004,0.0011046812954254295
ACTBL2,2.2105412,0.0014777742777369182
ELOVL3,2.2599647,0.0015461204445139023
CST6,0.84890723,0.0015712529080872866
CCNA1,2.3635223,0.0016637636812574345
DNASE1L2,1.0362111,0.0019802071118136294
S100A2,0.8970728,0.0023226453285138146
CECR2,1.9922777,0.0036049851658544923
PKIB,1.9946579,0.003915751250514642
EMB,2.448433,0.004396065815591751
KRT6A,0.6044585,0.0050861537137890005
KRTAP17-1,3.433305,0.00508788293404549
KRT17,1.1309764,0.006385085453005919
BSPRY,1.5801897,0.0064729244938682
LIPG,1.9015491,0.0066935879501290865
LIPH,1.9704772,0.006861255258609096
RPL41,0.24501117,0.008347649150857858
AADACL2,1.2057205,0.010926831103277513
C3orf52,2.1981359,0.011117601505874207
SCIN,1.8219279,0.011792364727563233
KRT79,1.4252762,0.01184569512631289
DBI,0.5147433,0.014226438223717615
MYO5B,2.2572014,0.015070277515845916
FAM3D,2.4710095,0.017718094570609702
IGFL2,1.0620918,0.022194526750064534
HPSE,2.6534693,0.022194526750064534
THEG,2.3584757,0.022268343059691054
LIMCH1,1.4719251,0.023750382899692547
KRT16,0.7736882,0.024381357023558425
BPIFC,2.2896414,0.025442388524442857
BCKDHA,2.7364113,0.026236673199335127
CHP2,1.0967041,0.026340753742382057
AC009403.2,1.9910284,0.02809018725504362
S100A7,0.8909081,0.02856359575590921
KLK8,1.5604125,0.02906712707566497
STAT1,1.6516703,0.03313083844305989
MYO3B,1.5927601,0.0348464167932442
CRABP2,0.5564893,0.03491113073635711
TUBA4A,0.5003058,0.035835085542103705
RP11-439K3.1,2.0253623,0.03977180679750556
IFI27,0.81337047,0.04407415220591395
DEFB1,0.4140394,0.04693142709242249
NDUFA4L2,0.63333136,0.04852086976022886
CALB2,1.2716154,0.04863762153303868
KRT27,0.6750362,0.048856115179179836
SEPT6,1.1280518,0.048922237192254976
MSMB,2.69543,0.05305176176982585
PPM1H,1.7484125,0.05663445511390208
SDSL,1.3591202,0.06019857481047165
SOBP,1.614361,0.06637605978859437
AATBC,1.9277834,0.07261822356026669
CLIC3,0.8863271,0.07277969882572737
S100A16,0.37745836,0.07968734972814562
GJB2,0.6232942,0.09949185475813978
RPL5P34,2.1924725,0.09976397381139147
PARK2,2.3226793,0.09985137188272178
RPS29,0.15310098,0.10270261581194103
CD24,0.5149713,0.10377303297312324
GSDMA,1.8305005,0.10627141932873851
KRT2,2.8202484,0.10821092301545461
RASSF3,1.3756254,0.10954106788948056
STEAP1,1.5035911,0.10998520144493569
CUX1,1.2742331,0.1121687125563114
FZD5,1.5402913,0.11674130201876065
SFN,0.3053287,0.12261058228061551
ZNF718,2.4368048,0.12301747040124082
RPS28,0.11460174,0.12438424948726341
EFCAB2,1.7418547,0.12510507055617864
IFI27L2,0.42426524,0.12999286053800316
PRSS3,0.67852736,0.13066311532347827
DNASE1L3,1.7974441,0.13141528384836257
RP1-232P20.1,2.2473354,0.14090299865961609
KRTAP19-5,0.9478406,0.14468178865356238
SERPINB2,1.2566191,0.1464668001224326
