names,logfoldchanges,pvals_adj
COL3A1,11.977189,0.0
COL6A3,29.172426,0.0
PTGDS,10.871159,0.0
THY1,9.411172,0.0
IGF1,8.869582,2.2470464135601143e-296
NEGR1,9.4472275,4.997901928009723e-262
TWIST2,8.557226,7.645632905769744e-230
MMP2,8.457486,1.4685120110981724e-213
TMEM176B,7.3997087,2.5115959799787863e-210
RUNX1T1,7.2732325,4.3805207842243616e-201
MXRA8,6.8277526,3.1355684994418757e-176
PCOLCE,7.1526656,1.0197610477949692e-172
GLT8D2,7.2040863,7.534629803772394e-161
TMEM176A,6.492109,9.721867255442e-140
ASPN,6.6597834,1.4415096249025228e-122
SPARCL1,5.4728355,3.379510002099033e-117
LOX,6.190459,1.0330739327845924e-114
COL1A1,6.217254,1.5969206014669792e-114
LRRC17,6.679123,5.812905056967641e-112
FBLN5,5.875089,1.3735170760187458e-109
COL6A2,5.837876,4.3700149662956885e-93
RSPO4,6.7199764,1.6721722442512288e-91
MEOX2,5.6132364,3.564756564676008e-79
F13A1,5.9614344,2.1027473534490423e-78
FGF7,6.071267,3.767616199496579e-77
LAMA2,6.1120815,4.942983933550777e-77
EDNRA,5.631781,1.350382391201727e-72
GGT5,6.5104294,8.112776663920611e-72
CD248,6.0724554,1.4121135004181225e-70
GPC3,5.554068,1.4470481309059335e-70
ENHO,6.422908,4.9757646003959975e-70
CH25H,6.493462,5.693238630734337e-70
LUM,6.080878,1.4471366650390842e-68
SOD3,4.7894306,2.2135485047611715e-60
A4GALT,5.176947,2.8087228728710755e-60
CCDC80,5.103363,6.330794454057287e-59
DAB2,4.912072,3.751781438616595e-58
CLMP,4.631414,8.659863063058277e-57
FBN1,5.618609,8.499866924826911e-52
PPP1R14A,5.7089715,9.455141749041335e-51
ACVRL1,5.559755,1.0266926811195611e-50
FKBP10,4.1062737,2.8532163271249466e-50
FN1,5.388232,3.572568425012983e-50
PCDH18,5.347502,1.8409219743091323e-49
EMILIN1,5.177989,5.174856965119146e-47
AEBP1,3.9885154,2.55419010222162e-45
ROBO2,5.554781,3.394231444732585e-45
PLAC9,3.9574056,5.374665342570843e-45
COL6A1,4.6167326,1.154780134007939e-44
CPE,4.2976003,6.27848164373945e-44
LAMA4,4.9691358,1.1462241085277928e-42
MMP19,5.474474,2.1157913910435457e-41
CDH11,4.541491,1.3921441529756392e-40
CFD,5.164512,7.340936765262547e-40
COL1A2,4.4604936,9.967626601278253e-37
ZBTB20,3.5311735,2.1868463258673553e-35
VCAN,4.033042,2.1882544565409635e-35
SLIT3,5.1237645,3.9463817755534036e-35
FIBIN,4.4293246,6.429895624383616e-35
ABCA8,5.3367085,4.099890756534255e-34
KANK2,4.6948705,2.399571800365888e-32
DCN,4.641129,5.580735311257803e-32
C1S,4.3264184,7.662900022308007e-32
ARHGAP15,4.465357,1.077539239081995e-31
SRPX,4.1293597,2.8054324623775226e-31
MFAP4,5.085069,6.6262271416623655e-31
ADGRA2,4.7464504,9.459937488192586e-31
LOXL2,4.5457187,2.3238617401300992e-30
SPON1,4.1096945,3.7824140316198735e-30
MGP,3.7386708,1.4836281291895922e-29
EMID1,3.668913,1.552685140499001e-28
TMEM204,3.9334483,1.5659986042139005e-28
DDR2,3.9136498,2.822768428328429e-27
MAP1A,4.1370234,8.249289458908596e-27
TAGLN,5.138492,1.1943180247776825e-26
RAI2,4.479018,1.8120739623410084e-26
OSR2,4.493411,2.092126005609188e-26
COL15A1,4.194312,2.322010389112369e-26
NKD2,4.4383235,8.859190270497664e-26
KCNMB1,4.4807687,1.4745361308538433e-25
EBF1,4.3058486,3.8358461882858544e-25
VIM,4.4635134,7.126803710222911e-25
BCHE,4.09687,2.4295419204062396e-24
JAM2,3.1584811,2.0861404032588264e-22
ACTA2,5.3956375,8.076984884088642e-22
VCAM1,4.9169316,8.338714027020673e-22
FSTL1,3.2313392,1.5400026088305773e-21
F2R,3.430725,2.1400545440536676e-21
SPARC,2.8671024,3.0294605940385786e-21
AQP1,2.7143147,5.512321244104479e-21
TPM2,3.18142,2.4745403188801217e-20
OMD,4.5833163,1.812554185777649e-19
APOD,3.4810941,6.113527133255625e-19
C8orf4,4.0740457,3.1350423884591783e-18
FERMT2,3.3351836,5.687212576012485e-18
TCN2,3.335112,6.49721691387503e-18
PRELP,3.2692027,8.175783602043545e-18
ENPP2,3.7676847,1.2829080285226613e-17
S100A4,3.050968,5.4275383650881455e-17
PLXDC1,3.6194913,5.959010338989452e-17
