names,logfoldchanges,pvals_adj
DLX1,5.439468,2.703120210191285e-200
DLX2,5.0572104,1.079038412622416e-185
TMSB15A,5.4180403,1.622453680558839e-178
KRT85,4.9467826,2.6623303472445506e-169
AURKB,5.2668943,1.492513619177756e-164
PBK,5.190342,1.7475015242986373e-161
MKI67,5.3189864,5.4636548558375186e-157
CCNA2,5.1787963,3.661313944520547e-153
TOP2A,5.337157,2.3790895310533895e-152
KCNAB3,5.760276,3.512442897757604e-151
GTSE1,5.375455,2.3105621905411144e-144
BIRC5,5.1079245,2.428324395952127e-144
KIAA0101,4.815935,7.094665053218409e-142
MSX1,4.7438326,4.7771700351817385e-137
CENPF,5.388067,2.825131838869618e-134
ASPM,5.111447,7.472603923345088e-134
DLX3,4.322704,1.278405746298958e-133
NUF2,5.247971,3.608278201746467e-133
TTK,5.2553782,1.0782590835669171e-131
TYMS,4.3639193,1.1712102714194126e-128
FAM64A,5.219727,1.2083723875198988e-126
ASF1B,4.5731053,1.738247902343347e-123
HMMR,5.1779547,1.2126790120044338e-117
KIF23,5.0590167,1.3105680980354643e-117
NCAPG,5.4853745,1.3006352284419382e-116
SPSB4,5.5809,5.753618104566053e-115
DEPDC1,5.024292,1.9903116252841777e-114
CFAP57,4.7236524,2.3161187112957552e-113
CDCA8,4.724919,1.918871009444579e-112
KRT28,4.0618153,8.47610474690273e-112
CDCA2,5.351561,2.8199243281642506e-111
CCNB2,4.7741337,7.57305567552227e-111
LMNB1,4.166198,8.204527651597991e-111
NDC80,4.6582923,1.2104124153062789e-110
UHRF1,4.3728786,2.0053885598204064e-110
SPAG5,4.764913,1.2546843450846278e-109
MT1G,4.876908,2.5281799533970454e-109
MELK,4.5674314,5.333430274336005e-109
UBE2C,5.1128454,7.906630196245676e-108
MSX2,3.976903,8.7632559081201e-108
TPX2,4.8444695,2.3254375164993938e-105
DLGAP5,5.1671057,1.9467686101327938e-104
OIP5,4.432133,3.8030581145033234e-104
MAD2L1,4.6059375,1.8101973462292103e-102
ZWINT,4.111154,7.655173904321762e-102
KIF2C,4.8520937,4.599231240633146e-101
HIST1H1B,5.4359655,5.859979067545014e-101
BUB1B,5.0072103,2.508125691409955e-100
RAD51AP1,4.273243,1.3599530594657435e-99
ESCO2,5.11398,2.790870300581608e-99
PRC1,4.0424657,2.112422477471689e-97
PLK1,5.140064,1.0902168334763646e-95
CLSPN,4.073046,1.189201358129006e-95
TROAP,4.5537496,1.9459974186966676e-95
CLDN10,3.7473726,1.4233238319817953e-94
SLC39A10,4.191762,2.5949233047228387e-94
KRT25,3.4673781,1.0259631224514024e-93
TK1,4.2251377,1.7057767643017604e-93
FOXM1,4.6602254,1.8820623245797655e-93
CENPE,4.6858754,1.5751534728902577e-91
CDKN3,4.402842,3.147316213482678e-91
ORC6,3.982863,1.2856004961781174e-90
C16orf59,4.3093963,5.637957977422637e-90
HIST1H1A,4.985393,6.4695534285228036e-90
CDC20,4.6061096,7.83702525373057e-90
KIF20A,4.50289,6.694795730516089e-89
CENPK,3.8781714,6.694795730516089e-89
CDK1,4.0877275,2.423448988383575e-87
NCAPH,4.630744,1.0378192736166068e-85
ATAD5,3.7760417,9.813543028773116e-85
SAMD11,5.519919,2.0453875623405393e-84
KIFC1,4.614369,2.285252929864088e-83
MYBL2,4.370651,2.3904281088113177e-83
ANLN,3.9935908,1.414928574312528e-82
SKA3,4.4687605,1.2036170352540342e-81
BUB1,5.118776,2.0899236886562425e-80
DIAPH3,4.2321553,2.6207465139837832e-79
KIF4A,4.8116965,1.0487122294859345e-78
RAD54L,4.6479325,2.5499727826965326e-78
DEPDC1B,4.4876437,2.0182284689231264e-77
CENPA,5.229331,4.485410059074029e-77
MT4,4.099729,7.302964834700732e-77
GINS2,3.5147033,9.810273423318746e-77
XRCC2,4.711454,1.8759255649884213e-76
KIF11,4.4612617,5.376138793277598e-76
KIF15,4.9619236,6.665363844755163e-76
MT1M,4.224876,1.726458151321076e-75
CDC25C,5.4130654,1.4065157420934062e-73
SKA1,5.0194163,2.021174509778643e-73
MYB,4.677921,2.021174509778643e-73
TACC3,4.180556,2.6287072382213006e-73
SGO2,4.4419813,7.300693922775338e-73
CEP55,4.2699885,2.711908920756624e-72
DHFR,3.691746,3.0490463031919175e-72
CKAP2L,4.939474,2.4409507729345833e-71
TMPO,3.4711678,2.4935637172650777e-71
OCA2,3.5611868,3.3609663263391045e-71
HIST1H1D,4.446712,5.23209002476277e-70
CENPN,3.4733844,6.103298872964646e-70
NUSAP1,4.483019,6.685642233424618e-70
